Name,TOPG
Temple,7.7
West Virginia,8.5
Butler,8.9
Samford,10.7
Air Force,10.8
Virginia Tech,11.2
Villanova,11.3
IUPUI,11.5
Fairfield,11.6
Wisconsin,11.6
Cincinnati,11.7
Georgetown,11.7
Notre Dame,11.8
Binghamton,11.9
UMKC,12.1
DePaul,12.1
Ohio St.,12.1
New Mexico,12.2
South Carolina,12.2
Northwestern,12.3
UNI,12.3
Illinois,12.4
California,12.4
Birmingham-So.,12.5
Murray St.,12.5
UNC Wilmington,12.5
VCU,12.5
Rutgers,12.5
Rhode Island,12.5
Akron,12.5
Troy,12.6
Sacramento St.,12.6
Miami (FL),12.6
Oregon,12.7
Penn St.,12.7
Charlotte,12.7
Southeastern La.,12.8
Loyola Chicago,12.8
Fordham,12.8
Old Dominion,12.8
Saint Joseph's,12.8
Central Conn. St.,12.8
UAB,12.8
Delaware St.,12.8
Utah St.,12.9
Wichita St.,12.9
Manhattan,12.9
Radford,12.9
Vanderbilt,12.9
Tennessee,13
Xavier,13
Louisville,13
Davidson,13
Green Bay,13
Nevada,13
Pacific,13
Coppin St.,13
Stony Brook,13.1
Saint Peter's,13.1
Iowa St.,13.1
UTEP,13.1
Houston,13.1
Eastern Ky.,13.1
Youngstown St.,13.1
Stephen F. Austin,13.2
Boston College,13.2
George Mason,13.2
Indiana St.,13.2
Miami (OH),13.2
IPFW,13.3
Siena,13.3
Saint Louis,13.3
South Ala.,13.3
Princeton,13.3
Gonzaga,13.3
Idaho,13.3
Marist,13.3
Creighton,13.4
Penn,13.4
Kent St.,13.4
UC Santa Barbara,13.4
Arkansas,13.4
Hawaii,13.4
Duke,13.4
Kentucky,13.4
Texas A&M,13.4
Boston U.,13.4
Seton Hall,13.4
Fresno St.,13.5
Drexel,13.5
Arizona,13.5
Northern Ill.,13.5
Wright St.,13.5
Alabama,13.5
St. Bonaventure,13.5
Wofford,13.6
Canisius,13.6
Coastal Caro.,13.6
Chicago St.,13.6
Detroit,13.6
Dartmouth,13.6
North Carolina St.,13.7
Hofstra,13.7
Texas,13.7
Mt. St. Mary's,13.7
Northeastern,13.7
UMBC,13.7
Milwaukee,13.7
Pittsburgh,13.7
Ill.-Chicago,13.7
UC Irvine,13.8
San Jose St.,13.8
Charleston So.,13.9
La Salle,13.9
Richmond,13.9
Missouri St.,14
Cornell,14
