Name,Turnover Margin
Louisville,7.2
Eastern Ky.,6.3
VCU,6.2
Arkansas,5.5
Stephen F. Austin,5.4
Georgia St.,5.3
Louisiana Tech,5
Syracuse,4.5
N.C. Central,4.5
UCLA,4.2
San Diego St.,4
Chicago St.,3.8
Oklahoma St.,3.8
Eastern Mich.,3.6
Ohio St.,3.5
North Dakota,3.4
Toledo,3.4
West Virginia,3.2
Harvard,3.2
Cincinnati,3.1
Southern Miss.,3
Northwestern St.,2.9
Central Mich.,2.9
Duke,2.8
Ole Miss,2.8
Drexel,2.8
Wright St.,2.7
Florida,2.7
Oakland,2.7
Richmond,2.6
Denver,2.6
VMI,2.5
Tulsa,2.5
Alabama St.,2.5
UT Martin,2.5
St. John's (NY),2.4
Delaware,2.3
Tex.-Pan American,2.3
Middle Tenn.,2.3
Portland St.,2.2
Wofford,2.2
East Tenn. St.,2.2
Arizona,2.2
Canisius,2.2
Cal Poly,2.1
Oregon,2.1
Santa Clara,2.1
Iowa,2.1
Youngstown St.,2.1
Villanova,2.1
Texas A&M,2
Wichita St.,1.9
North Dakota St.,1.9
Charleston So.,1.9
Montana,1.9
Wisconsin,1.9
Loyola Maryland,1.9
Colorado St.,1.8
Boston U.,1.8
Gardner-Webb,1.8
Pittsburgh,1.8
Butler,1.8
St. Bonaventure,1.7
Robert Morris,1.7
Lipscomb,1.7
Boise St.,1.7
Radford,1.7
Winthrop,1.7
Saint Louis,1.7
Michigan,1.7
UConn,1.7
Loyola Marymount,1.6
North Carolina,1.6
Fresno St.,1.6
Western Caro.,1.6
Manhattan,1.6
Iowa St.,1.5
Coppin St.,1.5
Montana St.,1.5
Hawaii,1.5
Illinois St.,1.5
Sam Houston St.,1.5
Iona,1.4
Nebraska,1.4
Oklahoma,1.4
Illinois,1.4
Virginia,1.4
BYU,1.4
Green Bay,1.4
Belmont,1.4
Niagara,1.3
Mt. St. Mary's,1.3
North Carolina St.,1.3
Marquette,1.2
Memphis,1.2
Arkansas St.,1.2
Princeton,1.2
Morgan St.,1.2
Ark.-Pine Bluff,1.2
Kent St.,1.1
Hampton,1.1
Miami (OH),1.1
Fordham,1.1
Dartmouth,1.1
Davidson,1
Marist,1
Duquesne,1
Fairleigh Dickinson,1
Ga. Southern,1
Missouri St.,1
Alabama,0.9
Bradley,0.9
Detroit,0.9
Michigan St.,0.9
Alcorn,0.9
Nicholls St.,0.9
Utah,0.9
Vermont,0.8
TCU,0.8
Jacksonville St.,0.8
Appalachian St.,0.8
Mercer,0.8
Northern Colo.,0.8
Army,0.7
Navy,0.7
UNI,0.7
UMKC,0.7
Buffalo,0.7
Dayton,0.7
Notre Dame,0.6
Gonzaga,0.6
Southern Ill.,0.6
Auburn,0.6
Sacred Heart,0.6
Marshall,0.6
George Washington,0.6
Arizona St.,0.6
Chattanooga,0.5
Monmouth,0.5
Central Ark.,0.5
Idaho St.,0.5
Temple,0.5
USC Upstate,0.5
Long Beach St.,0.5
Minnesota,0.4
Penn St.,0.4
Sacramento St.,0.4
UC Davis,0.4
La.-Lafayette,0.4
NJIT,0.4
Stony Brook,0.4
UMBC,0.4
Alabama A&M,0.4
Florida A&M,0.4
Longwood,0.4
Indiana St.,0.4
Wagner,0.4
Tennessee,0.4
SMU,0.3
UMES,0.3
Saint Francis (PA),0.3
East Carolina,0.3
Stanford,0.3
California,0.3
Holy Cross,0.3
Nevada,0.3
Kansas St.,0.2
Bryant,0.2
Cleveland St.,0.2
High Point,0.2
Creighton,0.2
Rider,0.1
SIU Edwardsville,0.1
San Francisco,0.1
La Salle,0.1
Maryland,0.1
Mississippi St.,0.1
McNeese St.,0
William & Mary,0
UALR,0
Georgetown,0
Bethune-Cookman,-0.1
Massachusetts,-0.1
Seton Hall,-0.1
Akron,-0.1
Wyoming,-0.1
Clemson,-0.1
UNC Wilmington,-0.2
Washington,-0.2
A&M-Corpus Christi,-0.2
Jacksonville,-0.2
IPFW,-0.2
St. Mary's (CA),-0.2
Southern U.,-0.2
Stetson,-0.2
North Texas,-0.3
Mississippi Val.,-0.3
Morehead St.,-0.3
James Madison,-0.3
Ohio,-0.3
Portland,-0.3
San Diego,-0.3
Lafayette,-0.4
