Name,TOPG
Butler,9.4
Air Force,10.3
Washington St.,10.3
Samford,10.4
Northwestern,10.9
Virginia Tech,11
Bradley,11.1
South Carolina,11.2
West Virginia,11.3
UNLV,11.3
VCU,11.4
Wisconsin,11.4
Ole Miss,11.5
UMKC,11.6
Houston,11.6
California,11.7
Green Bay,11.7
Pittsburgh,11.7
Hofstra,11.7
DePaul,11.7
Ohio St.,11.8
Texas Tech,11.8
Lipscomb,11.9
New Orleans,11.9
Wichita St.,12
South Ala.,12.1
Delaware St.,12.2
Wofford,12.2
Seton Hall,12.2
UCLA,12.2
Wright St.,12.3
Texas,12.3
George Mason,12.3
Old Dominion,12.3
New Mexico,12.3
Indiana,12.4
Ill.-Chicago,12.4
Northeastern,12.4
UNI,12.5
Troy,12.5
Texas A&M,12.5
Indiana St.,12.5
Southeastern La.,12.5
Akron,12.5
Hartford,12.5
Vanderbilt,12.5
Oregon,12.6
Cincinnati,12.6
Miami (FL),12.7
Temple,12.7
Louisville,12.7
Detroit,12.7
Charlotte,12.7
UMBC,12.7
Towson,12.8
Montana,12.8
Xavier,12.8
Creighton,12.8
Rutgers,12.9
Evansville,12.9
Richmond,12.9
Delaware,12.9
Cal Poly,12.9
Notre Dame,12.9
Marist,13
New Hampshire,13
Winthrop,13
Nevada,13.1
Dartmouth,13.1
Missouri St.,13.1
Princeton,13.1
Loyola Chicago,13.2
Austin Peay,13.2
Saint Louis,13.2
Milwaukee,13.3
Maine,13.3
IUPUI,13.3
Fairleigh Dickinson,13.3
Miami (OH),13.3
Niagara,13.4
Albany (NY),13.4
Fresno St.,13.4
Eastern Ky.,13.4
Oregon St.,13.4
Siena,13.4
Iowa,13.5
Idaho St.,13.5
BYU,13.5
Ball St.,13.5
Youngstown St.,13.5
Cleveland St.,13.5
Memphis,13.6
Arizona,13.7
Alabama,13.7
George Washington,13.7
UC Riverside,13.7
Oklahoma,13.7
Western Caro.,13.7
Georgetown,13.8
Kent St.,13.8
Drake,13.8
Coppin St.,13.8
American,13.8
Rider,13.8
UAB,13.8
Villanova,13.8
Kansas St.,13.8
Illinois,13.8
UC Santa Barbara,13.9
Eastern Ill.,13.9
Tennessee St.,13.9
Virginia,13.9
Drexel,13.9
Clemson,13.9
Long Beach St.,13.9
St. Mary's (CA),13.9
North Carolina,13.9
James Madison,14
Mississippi St.,14
Southern Ill.,14
Kansas,14
Utah St.,14
Florida,14
Gonzaga,14
Ohio,14
Alabama St.,14
Southern Utah,14
East Carolina,14
Morehead St.,14.1
Jacksonville St.,14.1
William & Mary,14.1
Penn,14.1
Penn St.,14.1
LSU,14.1
Boston College,14.1
Dayton,14.1
Chicago St.,14.1
Toledo,14.2
Boston U.,14.2
St. John's (NY),14.2
Bowling Green,14.2
Fordham,14.2
Central Conn. St.,14.2
Purdue,14.2
Middle Tenn.,14.2
Nebraska,14.2
Loyola Maryland,14.2
Manhattan,14.3
La.-Monroe,14.3
Binghamton,14.3
Sacramento St.,14.3
Florida St.,14.4
Oakland,14.4
Louisiana Tech,14.4
Stony Brook,14.4
Southern Miss.,14.5
Robert Morris,14.5
Arizona St.,14.5
Davidson,14.5
IPFW,14.5
Elon,14.5
Baylor,14.5
Utah,14.6
Marquette,14.6
LIU Brooklyn,14.6
Tennessee,14.6
Wagner,14.6
Stanford,14.6
Columbia,14.6
Kentucky,14.7
San Jose St.,14.7
Citadel,14.7
Western Ill.,14.7
Yale,14.7
Southern California,14.7
Bucknell,14.7
Minnesota,14.7
Pacific,14.7
Fairfield,14.8
Rhode Island,14.8
Idaho,14.8
Mt. St. Mary's,14.8
Iowa St.,14.8
Appalachian St.,14.8
Saint Joseph's,14.8
Furman,14.8
Wyoming,14.8
Michigan,14.8
Cornell,14.8
La.-Lafayette,14.9
San Diego St.,14.9
Rice,14.9
Santa Clara,14.9
North Carolina St.,14.9
Duquesne,14.9
Missouri,14.9
Denver,15
Stephen F. Austin,15
St. Bonaventure,15
UALR,15
Lehigh,15
Col. of Charleston,15
Sam Houston St.,15
Western Ky.,15
Michigan St.,15
UConn,15
Coastal Caro.,15
Murray St.,15.1
Syracuse,15.1
Sacred Heart,15.1
Illinois St.,15.1
Liberty,15.1
Tulane,15.2
Colgate,15.2
Oral Roberts,15.2
Holy Cross,15.2
Tex.-Pan American,15.2
Monmouth,15.3
FIU,15.3
Pepperdine,15.3
Boise St.,15.3
Arkansas,15.3
Fla. Atlantic,15.4
Centenary (LA),15.4
Duke,15.4
Eastern Wash.,15.4
Arkansas St.,15.4
Marshall,15.4
Brown,15.4
Cal St. Fullerton,15.4
Western Mich.,15.4
UNC Wilmington,15.5
UNC Greensboro,15.5
Tennessee Tech,15.5
High Point,15.5
Jackson St.,15.6
San Diego,15.6
UCF,15.6
UMES,15.6
Washington,15.6
Charleston So.,15.7
Ark.-Pine Bluff,15.7
North Texas,15.7
Navy,15.7
Portland St.,15.7
Georgia,15.7
Maryland,15.8
Montana St.,15.8
Georgia St.,15.8
Georgia Tech,15.9
Mississippi Val.,15.9
San Francisco,15.9
Vermont,15.9
La Salle,15.9
Stetson,15.9
Valparaiso,16
Massachusetts,16
UTEP,16
Weber St.,16.1
Gardner-Webb,16.1
Chattanooga,16.1
Belmont,16.1
Quinnipiac,16.1
Harvard,16.1
Oklahoma St.,16.1
Army,16.2
Bethune-Cookman,16.2
SMU,16.2
Wake Forest,16.2
Howard,16.2
Morgan St.,16.2
A&M-Corpus Christi,16.3
Northwestern St.,16.3
N.C. A&T,16.3
Tulsa,16.3
Nicholls St.,16.3
UC Irvine,16.3
McNeese St.,16.4
Loyola Marymount,16.4
Auburn,16.4
UT Martin,16.5
Canisius,16.5
Ga. Southern,16.5
Jacksonville,16.6
Saint Peter's,16.6
VMI,16.6
UNC Asheville,16.6
Northern Ariz.,16.7
Lamar,16.7
Providence,16.7
Portland,16.7
Saint Francis (PA),16.8
Grambling,16.8
New Mexico St.,16.8
South Fla.,16.9
East Tenn. St.,16.9
Winston-Salem,16.9
South Carolina St.,16.9
Prairie View,17
Southeast Mo. St.,17
Lafayette,17
TCU,17.1
UTSA,17.2
Hawaii,17.4
Colorado,17.5
Central Mich.,17.5
Colorado St.,17.5
Radford,17.6
Mercer,17.6
Texas-Arlington,17.6
Eastern Mich.,17.8
Campbell,17.8
St. Francis Brooklyn,17.8
Norfolk St.,17.9
Iona,17.9
Northern Ill.,17.9
Florida A&M,17.9
Alabama A&M,18
Southern U.,18.5
Alcorn,18.7
Texas Southern,19
Buffalo,19.1
Cal St. Northridge,19.1
Savannah St.,19.1
Texas St.,19.3
