Name,TOPG
Temple,9.1
Wisconsin,9.9
Butler,10.3
Notre Dame,10.4
Air Force,10.8
Troy,11.1
Northwestern,11.3
St. Joseph's,11.7
Texas,11.9
Tennessee St.,12
Fairleigh Dickinson,12.1
Southern Ill.,12.1
Cincinnati,12.1
Washington St.,12.1
Boston U.,12.1
Southeast Mo. St.,12.2
Miami (OH),12.3
Indiana,12.4
UMKC,12.4
Texas Tech,12.5
Pepperdine,12.5
Mississippi Val.,12.5
Xavier,12.5
Illinois,12.6
Vermont,12.6
Ill.-Chicago,12.6
UNI,12.6
Kent St.,12.7
Utah St.,12.8
Wright St.,12.8
Pittsburgh,12.8
Vanderbilt,12.8
Syracuse,12.8
Idaho,12.8
Portland,12.8
IUPUI,12.9
Memphis,12.9
St. Louis,12.9
Boise St.,12.9
Oklahoma,13
St. Peter's,13
Manhattan,13
New Orleans,13
Richmond,13.1
Ball St.,13.1
James Madison,13.1
Drexel,13.1
West Virginia,13.1
New Mexico,13.1
Mississippi,13.1
St. Bonaventure,13.2
Idaho St.,13.2
Nevada,13.2
Seton Hall,13.2
South Carolina,13.2
San Jose St.,13.3
Alabama,13.3
San Diego St.,13.3
Western Mich.,13.3
Oklahoma St.,13.3
Purdue,13.3
Boston College,13.3
Virginia Tech,13.3
Rider,13.4
Monmouth,13.4
Weber St.,13.4
Hawaii,13.4
DePaul,13.4
Indiana St.,13.5
La Salle,13.5
Detroit,13.5
UNC Wilmington,13.5
Tulsa,13.5
Robert Morris,13.5
Princeton,13.5
Austin Peay,13.5
Gonzaga,13.6
Nebraska,13.6
Morehead St.,13.6
Oakland,13.6
UAB,13.6
Colgate,13.6
Penn,13.6
Green Bay,13.7
Fresno St.,13.7
Denver,13.7
South Ala.,13.8
St. Francis (PA),13.8
Chicago St.,13.8
North Carolina St.,13.8
Minnesota,13.8
Arkansas,13.8
Creighton,13.8
Connecticut,13.8
BYU,13.8
Middle Tenn.,13.8
Radford,13.9
UC Riverside,13.9
Louisville,13.9
Stephen F. Austin,13.9
UTEP,13.9
Santa Clara,13.9
Holy Cross,14
Southeastern La.,14
Houston,14
Stanford,14
Marist,14
California,14.1
Oregon St.,14.1
Murray St.,14.1
Virginia,14.1
Dartmouth,14.2
Jacksonville St.,14.2
Duke,14.2
Fairfield,14.2
Mt. St. Mary's,14.2
UMBC,14.2
Kansas St.,14.2
Utah,14.2
American,14.2
Dayton,14.3
Kansas,14.3
Rhode Island,14.3
Winthrop,14.3
Marquette,14.3
Pacific,14.4
La.-Lafayette,14.4
Niagara,14.4
Lehigh,14.4
Missouri,14.4
Belmont,14.4
Kentucky,14.5
LSU,14.5
Quinnipiac,14.6
Ohio St.,14.6
Rutgers,14.6
Colorado,14.6
Iowa St.,14.6
SMU,14.6
Tennessee Tech,14.6
Illinois St.,14.6
Michigan St.,14.6
Akron,14.6
Samford,14.6
Florida,14.7
Duquesne,14.7
Northeastern,14.7
Southern Miss.,14.8
TCU,14.8
UC Santa Barbara,14.8
Oral Roberts,14.8
New Mexico St.,14.8
Missouri St.,14.8
Toledo,14.8
Cornell,14.9
Sacramento St.,14.9
Loyola Marymount,14.9
Canisius,14.9
Tennessee,14.9
Texas A&M,14.9
Texas St.,14.9
Wyoming,14.9
Providence,14.9
Siena,14.9
Coppin St.,14.9
East Carolina,15
Col. of Charleston,15
Arizona,15
Montana St.,15
Centenary (LA),15
Ohio,15
Wichita St.,15
UNLV,15
Buffalo,15
Wake Forest,15
Maine,15.1
Georgia St.,15.1
Central Conn. St.,15.1
Lamar,15.1
Georgetown,15.1
Yale,15.1
Arizona St.,15.1
Maryland,15.1
Eastern Wash.,15.1
Oregon,15.1
Md.-East. Shore,15.2
Cal Poly,15.2
Stetson,15.2
Washington,15.2
Stony Brook,15.2
Michigan,15.2
Georgia,15.2
Delaware St.,15.3
Southern Utah,15.3
Brown,15.3
Southern California,15.3
Western Ky.,15.3
St. Francis (NY),15.3
UCF,15.3
Charlotte,15.3
Massachusetts,15.3
Lafayette,15.3
South Fla.,15.3
