Name,TOPG
Wisconsin,7.4
UNI,9.4
Northwestern,9.8
South Dakota St.,9.9
Michigan,10.1
Ohio St.,10.2
Purdue,10.3
Missouri St.,10.4
Hofstra,10.5
Penn St.,10.6
Kentucky,10.7
Richmond,10.7
Notre Dame,10.7
Wright St.,10.8
Temple,10.8
Virginia,10.9
George Mason,10.9
Saint Joseph's,11
San Jose St.,11
BYU,11
San Diego St.,11.1
Boston College,11.1
Butler,11.1
American,11.2
Delaware St.,11.2
St. Mary's (CA),11.2
IUPUI,11.2
Fla. Atlantic,11.4
Southern California,11.4
Bucknell,11.4
Pacific,11.5
VCU,11.6
Cincinnati,11.6
Cleveland St.,11.6
Pittsburgh,11.7
UConn,11.7
Delaware,11.8
Utah St.,11.8
Creighton,11.8
Texas,11.8
Southern Miss.,11.8
Wofford,11.8
Cal Poly,11.9
Colorado,11.9
UALR,11.9
Boise St.,11.9
Drexel,11.9
Boston U.,11.9
Col. of Charleston,11.9
Youngstown St.,12
Xavier,12
Villanova,12
New Hampshire,12
Marquette,12
Montana St.,12
Towson,12
Eastern Ky.,12.1
Air Force,12.1
Cornell,12.1
West Virginia,12.1
Akron,12.1
Syracuse,12.1
North Carolina St.,12.1
Rutgers,12.2
Drake,12.2
IPFW,12.2
Bethune-Cookman,12.2
Bradley,12.2
McNeese St.,12.2
Arizona St.,12.2
Tulane,12.2
Duke,12.2
Brown,12.3
Rice,12.3
Seton Hall,12.3
Wichita St.,12.3
Rhode Island,12.3
Hampton,12.3
Stony Brook,12.3
Montana,12.4
Princeton,12.4
Washington,12.4
Denver,12.4
Binghamton,12.4
Oregon,12.4
Old Dominion,12.4
Florida,12.4
Columbia,12.4
St. John's (NY),12.4
Portland St.,12.5
UAB,12.5
Quinnipiac,12.5
Virginia Tech,12.5
UTEP,12.5
Hartford,12.5
Iowa St.,12.5
Northeastern,12.5
Elon,12.6
UNLV,12.7
Ole Miss,12.7
TCU,12.7
Citadel,12.7
Illinois,12.7
Providence,12.7
Weber St.,12.7
James Madison,12.8
Iona,12.8
Loyola Chicago,12.8
George Washington,12.8
Nicholls St.,12.8
Missouri,12.8
Oral Roberts,12.8
Albany (NY),12.8
Arizona,12.9
Evansville,12.9
Washington St.,12.9
UC Irvine,12.9
Maine,12.9
Portland,12.9
Ball St.,12.9
Lehigh,13
Indiana,13
Texas A&M,13
Appalachian St.,13
Coastal Caro.,13
Louisville,13
Northern Ariz.,13
Kent St.,13.1
Arkansas St.,13.1
Winthrop,13.1
North Dakota St.,13.1
Vanderbilt,13.2
Green Bay,13.2
UMBC,13.2
Duquesne,13.2
Robert Morris,13.2
Loyola Maryland,13.2
Furman,13.2
Tennessee,13.2
William & Mary,13.2
Dayton,13.3
VMI,13.3
Arkansas,13.3
Harvard,13.3
Michigan St.,13.3
Marshall,13.3
St. Francis Brooklyn,13.3
North Texas,13.3
Idaho St.,13.3
Minnesota,13.3
Mississippi St.,13.3
Pepperdine,13.3
Clemson,13.3
Holy Cross,13.3
Illinois St.,13.4
Saint Louis,13.4
Nebraska,13.4
