Name,RPG,OPP RPG,REB MAR
Vermont,40.8,31.1,9.8
Washington,38.3,29.3,9
North Carolina,40.7,32.5,8.2
Massachusetts,40.6,32.6,8
Michigan St.,35.2,27.4,7.8
Kansas,40.4,32.9,7.5
Florida,37.2,29.8,7.4
Davidson,40.7,33.4,7.3
Southern Miss.,38.6,31.4,7.2
Tulsa,39.7,32.5,7.2
Cal St. Northridge,38.8,32,6.9
Providence,37.4,30.6,6.8
Winthrop,37.4,30.7,6.8
Nevada,38.2,31.5,6.7
UConn,42.3,35.7,6.6
Buffalo,38.3,31.6,6.6
A&M-Corpus Christi,35.6,29.1,6.5
BYU,37.5,31.1,6.4
North Texas,40.1,34,6.1
Arizona,37.5,31.5,6
Georgia Tech,36.3,30.3,6
Michigan,35.2,29.3,5.8
Georgia,38.3,32.4,5.8
Stanford,38.5,32.8,5.8
Georgetown,33.3,27.5,5.8
LSU,37.7,32.1,5.6
Colorado St.,35.2,29.7,5.5
Memphis,39.9,34.5,5.4
Santa Clara,36.2,31,5.2
Oakland,34.8,29.6,5.1
Bucknell,30.7,25.7,5
Drake,36.4,31.5,5
Illinois,35.1,30.2,4.9
Villanova,36.4,31.5,4.9
Wisconsin,35.1,30.2,4.9
Texas A&M,35.7,30.9,4.9
New Mexico St.,37.9,33.1,4.8
UALR,35.6,30.8,4.8
Duke,35.1,30.4,4.7
Pittsburgh,35.5,30.9,4.6
Virginia,39.3,34.7,4.6
Oral Roberts,35.5,30.9,4.6
La Salle,36.3,31.7,4.6
St. Mary's (CA),37.9,33.4,4.6
Oklahoma,36,31.5,4.5
Gonzaga,37.6,33.2,4.5
Hawaii,38.1,33.6,4.5
Notre Dame,38.3,33.9,4.4
Holy Cross,32.2,27.8,4.4
Old Dominion,36.7,32.5,4.2
Niagara,38.1,33.9,4.2
Columbia,32.6,28.5,4.1
Alabama,38.7,34.6,4.1
St. Francis Brooklyn,36.9,33,3.9
Saint Joseph's,33.5,29.6,3.9
Texas Southern,39.6,35.8,3.8
Loyola Chicago,35.8,32.1,3.7
Missouri St.,34.8,31.1,3.7
Chattanooga,36.8,33.2,3.7
Marist,37.1,33.5,3.6
Florida A&M,36.7,33.2,3.6
Northern Ariz.,36.4,32.8,3.5
SMU,34.5,31,3.5
Albany (NY),34,30.5,3.4
Marquette,37,33.6,3.4
Liberty,38,34.6,3.4
UCF,34.8,31.5,3.3
Morehead St.,33.5,30.2,3.3
Ga. Southern,37.4,34.1,3.3
UC Irvine,35.4,32.2,3.2
Tennessee Tech,38.4,35.2,3.2
Kentucky,36.4,33.3,3.2
Xavier,33.9,30.7,3.1
Utah,29.9,26.8,3.1
UNI,33.8,30.7,3.1
Portland,35.9,32.8,3.1
McNeese St.,38.2,35.1,3.1
Belmont,37.4,34.4,3.1
Kansas St.,36.1,33.1,3.1
Oregon,35.1,32.1,3
Arkansas,35.5,32.6,2.9
UCLA,32.9,30.1,2.9
Ohio St.,35.7,32.9,2.8
Penn St.,33,30.2,2.8
Texas,40.2,37.5,2.7
South Fla.,36.3,33.8,2.6
Creighton,32.8,30.3,2.4
Western Mich.,34.4,32,2.4
Rhode Island,35.9,33.5,2.4
Akron,35.1,32.8,2.4
Louisville,37.3,34.9,2.3
George Mason,32.6,30.3,2.3
Wichita St.,33.4,31.1,2.3
Cal St. Fullerton,39.3,37.1,2.3
American,34.6,32.3,2.3
Mississippi St.,38.5,36.3,2.2
Central Conn. St.,34.9,32.7,2.2
Charlotte,35.8,33.6,2.2
Baylor,36.2,34,2.2
Hampton,36,33.9,2.1
Lehigh,33.7,31.6,2.1
UNC Wilmington,35.4,33.3,2.1
Indiana,33.3,31.2,2.1
IUPUI,33.6,31.5,2.1
Detroit,33.2,31.1,2.1
Yale,33.1,31.1,2
Boise St.,38.4,36.4,2
Oklahoma St.,35.4,33.4,2
South Carolina St.,34.8,32.8,2
Miami (FL),35.1,33.2,1.9
Morgan St.,35,33.1,1.9
