Name,RPG,OPP RPG,REB MAR
Notre Dame,38.3,38.5,-0.2
Purdue,33.9,34.1,-0.3
South Fla.,38.1,38.4,-0.3
Jacksonville St.,34.3,34.6,-0.3
Drexel,35.6,36,-0.3
Prairie View,37.2,37.6,-0.4
Boston College,35.9,36.2,-0.4
St. Francis (NY),33.8,34.2,-0.4
UC Santa Barbara,30.8,31.3,-0.5
San Francisco,31.9,32.4,-0.5
Colgate,33.3,33.8,-0.5
Charleston So.,32.6,33.1,-0.5
Stephen F. Austin,31.3,32,-0.7
Southeast Mo. St.,32.5,33.2,-0.7
Western Caro.,34.8,35.5,-0.7
Bradley,34.2,35,-0.7
Providence,34.8,35.5,-0.8
Jacksonville,35.7,36.5,-0.8
Howard,34.6,35.4,-0.8
Quinnipiac,35.1,36,-0.9
Southern Ill.,33.3,34.2,-0.9
UNC Asheville,35.7,36.6,-0.9
Illinois St.,30.9,31.8,-0.9
Nebraska,38.1,39,-0.9
UALR,33.5,34.4,-0.9
Manhattan,34.6,35.6,-1
Ball St.,34.9,35.9,-1
Oregon,35.9,36.9,-1
James Madison,35,36.1,-1
Northwestern St.,36.4,37.5,-1
Princeton,28.4,29.5,-1.1
Samford,29.6,30.8,-1.2
Duquesne,33.1,34.3,-1.2
American,33,34.2,-1.2
Eastern Ill.,35.8,37,-1.2
Binghamton,35.9,37.2,-1.3
Mississippi Val.,38.1,39.4,-1.3
Lafayette,33.6,34.9,-1.3
Canisius,36.8,38.1,-1.3
Eastern Ky.,35.2,36.5,-1.3
Cal Poly,35.1,36.4,-1.4
Brown,32.9,34.3,-1.4
Georgia St.,34,35.5,-1.4
Morgan St.,35,36.5,-1.5
Columbia,31.1,32.6,-1.5
UNLV,32.9,34.4,-1.5
North Texas,37,38.6,-1.6
Miami (OH),29.2,30.8,-1.6
Ohio,33.5,35.1,-1.6
Coppin St.,28.7,30.3,-1.6
Texas Tech,34.6,36.2,-1.6
Marshall,32.9,34.5,-1.7
Temple,34.1,35.8,-1.7
La Salle,35.7,37.4,-1.8
Idaho St.,34,35.8,-1.8
Southern U.,38.5,40.3,-1.8
Bowling Green,31.3,33.1,-1.8
UC Riverside,31.6,33.5,-1.9
UNC Wilmington,33.1,35,-1.9
Delaware St.,30,32,-2
Montana,34.1,36.2,-2
Butler,28.3,30.3,-2
Pacific,34.4,36.5,-2.1
VMI,35.6,37.7,-2.1
Western Ill.,32.6,34.7,-2.1
Cornell,31.7,34,-2.3
Wofford,34.4,36.8,-2.3
Florida St.,34.5,36.8,-2.3
Richmond,33.4,35.8,-2.4
Rutgers,36.3,38.6,-2.4
San Jose St.,31.9,34.4,-2.4
UNI,31.1,33.6,-2.5
Col. of Charleston,35.6,38.1,-2.5
Boise St.,33,35.6,-2.6
St. Peter's,35.7,38.3,-2.6
Army,29.9,32.6,-2.6
Vanderbilt,33.2,35.9,-2.7
Washington St.,35.5,38.2,-2.7
Baylor,34.9,37.6,-2.7
New Mexico,32.5,35.2,-2.7
Loyola (MD),32.1,34.9,-2.7
Rider,33.8,36.6,-2.8
Bethune-Cookman,32.7,35.5,-2.8
Alabama A&M,36.9,39.7,-2.8
Montana St.,30,32.9,-2.9
Southeastern La.,32.2,35.1,-2.9
Robert Morris,30.7,33.6,-2.9
Texas A&M,36.6,39.6,-3
Washington,34.4,37.4,-3
Delaware,35.4,38.6,-3.1
Long Beach St.,30.4,33.5,-3.1
Towson,32.7,35.9,-3.2
Arkansas St.,31.7,34.9,-3.2
UNC Greensboro,34.1,37.3,-3.2
Penn St.,31.8,35.1,-3.3
Citadel,33.9,37.2,-3.4
Cleveland St.,31.4,34.8,-3.4
Massachusetts,32.2,35.6,-3.4
South Carolina,32.5,35.9,-3.4
UTSA,34.1,37.5,-3.4
St. Louis,30,33.5,-3.4
Pepperdine,33.5,37,-3.5
Loyola Marymount,33.7,37.2,-3.5
Fla. Atlantic,36,39.6,-3.6
St. Francis (PA),32.2,35.8,-3.6
Southern Utah,29.7,33.4,-3.7
New Hampshire,34.2,37.9,-3.7
Marist,34.8,38.6,-3.8
North Carolina,34.9,38.8,-3.8
Morris Brown,32.7,36.6,-3.9
Md.-East. Shore,31.7,35.8,-4.1
Nicholls St.,30.6,34.8,-4.2
Akron,29.6,33.9,-4.2
Stetson,33.5,37.7,-4.2
Mt. St. Mary's,32.7,37,-4.3
IPFW,32.3,36.6,-4.3
Grambling,36.8,41.1,-4.3
Monmouth,33.3,37.7,-4.4
Centenary (LA),30.5,34.9,-4.5
Sacramento St.,33.2,37.8,-4.6
Tenn.-Martin,33.1,37.7,-4.6
Indiana St.,30.8,35.6,-4.9
South Ala.,31.5,36.4,-4.9
St. Bonaventure,34.5,39.5,-5
Sacred Heart,33.8,38.8,-5
Northwestern,29.7,34.9,-5.1
UAB,34.8,40.1,-5.3
Radford,35.2,40.5,-5.3
Fordham,33.8,39.5,-5.7
Wright St.,30.5,36.2,-5.7
UMKC,32.8,38.6,-5.8
Savannah St.,33,39.3,-6.3
Jackson St.,33.6,40.4,-6.8
Dartmouth,28.7,35.7,-7
Fairleigh Dickinson,31.3,38.3,-7
N.C. A&T,32.5,39.5,-7
West Virginia,30.2,38.1,-7.9
Tennessee St.,32.6,41.1,-8.4
Air Force,20.7,29.8,-9.1
Portland,28.2,37.8,-9.6
Campbell,27.7,37.7,-10
Albany (NY),28.6,40.6,-12
Ark.-Pine Bluff,31,43.4,-12.4
