Name,TOPG
Notre Dame,9.6
Houston,9.8
UMBC,9.8
Southern Miss.,10
Wisconsin,10.1
Penn St.,10.8
Eastern Ky.,10.9
Northwestern,11.2
North Dakota St.,11.3
Utah St.,11.3
Michigan,11.3
Washington St.,11.3
BYU,11.4
UAB,11.4
Gonzaga,11.4
Arizona St.,11.5
Nebraska,11.5
UC Irvine,11.5
UNI,11.6
Montana,11.6
Purdue,11.6
Cal Poly,11.7
Marquette,11.7
Middle Tenn.,11.8
UNLV,11.9
Richmond,11.9
Nevada,11.9
George Mason,12
Pittsburgh,12
West Virginia,12
California,12
Florida,12.1
LSU,12.1
Iowa St.,12.1
Stephen F. Austin,12.2
Davidson,12.2
East Carolina,12.2
Fla. Atlantic,12.3
Pacific,12.3
Seton Hall,12.3
Duke,12.3
Creighton,12.3
Missouri,12.4
UCLA,12.4
Illinois,12.4
New Mexico,12.4
Butler,12.4
Oklahoma St.,12.4
Memphis,12.4
Idaho,12.5
Wright St.,12.5
Troy,12.5
Maryland,12.5
Cleveland St.,12.5
Fordham,12.5
Texas,12.5
Georgia St.,12.5
Iowa,12.5
DePaul,12.5
South Fla.,12.5
Green Bay,12.6
Saint Louis,12.6
Arizona,12.6
Northeastern,12.6
Old Dominion,12.6
Coppin St.,12.6
Temple,12.6
Oakland,12.6
Drexel,12.7
Citadel,12.7
Eastern Wash.,12.7
Col. of Charleston,12.7
UConn,12.7
San Diego St.,12.7
St. Mary's (CA),12.7
VCU,12.7
UT Martin,12.7
Western Ill.,12.7
Illinois St.,12.8
IUPUI,12.8
Stanford,12.8
North Carolina,12.8
UTEP,12.8
Texas A&M,12.8
IPFW,12.9
Drake,12.9
Eastern Ill.,12.9
North Texas,12.9
South Dakota St.,12.9
Baylor,12.9
Cornell,13
Towson,13
Milwaukee,13
Ill.-Chicago,13
Loyola Chicago,13
Samford,13
Delaware,13
Liberty,13
Kent St.,13
Mt. St. Mary's,13
Stony Brook,13
Siena,13.1
Bowling Green,13.1
Idaho St.,13.1
Marshall,13.1
Ohio St.,13.1
Murray St.,13.1
Charlotte,13.1
UMKC,13.1
Ball St.,13.1
Denver,13.1
Princeton,13.1
Missouri St.,13.1
Air Force,13.1
Niagara,13.1
Auburn,13.2
San Francisco,13.2
Cal St. Fullerton,13.2
Rhode Island,13.2
Ole Miss,13.2
LIU Brooklyn,13.2
Morgan St.,13.2
American,13.2
New Hampshire,13.2
Miami (FL),13.2
Rice,13.3
San Diego,13.3
Western Mich.,13.3
Oregon St.,13.3
Evansville,13.3
Western Ky.,13.3
Binghamton,13.3
Villanova,13.4
Tennessee,13.4
Youngstown St.,13.4
New Mexico St.,13.4
Montana St.,13.4
Boston College,13.4
Saint Joseph's,13.4
Fairfield,13.4
Austin Peay,13.4
South Carolina,13.4
Winthrop,13.4
Lehigh,13.4
Miami (OH),13.5
Wofford,13.5
Loyola Maryland,13.5
TCU,13.5
UC Riverside,13.6
Alabama St.,13.6
Arkansas St.,13.6
Boston U.,13.6
South Ala.,13.6
Utah,13.6
Cincinnati,13.6
Charleston So.,13.7
Lamar,13.7
Louisville,13.7
Virginia Tech,13.7
Duquesne,13.7
Colorado St.,13.7
Centenary (LA),13.7
Tulane,13.7
Texas-Arlington,13.7
Oklahoma,13.8
Akron,13.8
Manhattan,13.8
Portland St.,13.8
Dayton,13.8
Kansas St.,13.9
Dartmouth,13.9
Jacksonville St.,13.9
Florida A&M,13.9
Hartford,13.9
Arkansas,14
La.-Lafayette,14
Navy,14
Elon,14
Rider,14
UTSA,14
Southern California,14
VMI,14
Michigan St.,14
Colorado,14.1
Massachusetts,14.1
Tulsa,14.1
Columbia,14.1
UNC Wilmington,14.1
Wichita St.,14.1
Harvard,14.1
Buffalo,14.2
Oral Roberts,14.2
William & Mary,14.2
Bucknell,14.2
East Tenn. St.,14.2
Indiana St.,14.2
Penn,14.2
Wyoming,14.2
Portland,14.2
UC Davis,14.3
Nicholls St.,14.3
Furman,14.3
Mississippi St.,14.3
Weber St.,14.3
Southeastern La.,14.3
Central Conn. St.,14.3
Long Beach St.,14.3
Western Caro.,14.3
La Salle,14.3
Belmont,14.3
James Madison,14.3
Ohio,14.3
Clemson,14.4
UCF,14.4
Bethune-Cookman,14.4
Stetson,14.4
Brown,14.4
Central Mich.,14.4
Fresno St.,14.4
Quinnipiac,14.5
Jacksonville,14.5
Bradley,14.5
Sacramento St.,14.5
Texas Tech,14.5
North Carolina St.,14.5
Providence,14.5
Alabama,14.5
Minnesota,14.5
Prairie View,14.5
St. John's (NY),14.6
Longwood,14.6
Kansas,14.6
Georgetown,14.6
Maine,14.6
Vermont,14.6
Boise St.,14.6
Alcorn,14.7
George Washington,14.7
Colgate,14.7
San Jose St.,14.7
Loyola Marymount,14.7
Virginia,14.8
Northern Ariz.,14.8
Oregon,14.8
Gardner-Webb,14.8
Washington,14.9
SMU,14.9
Southern Ill.,14.9
New Orleans,15
Southern Utah,15
UALR,15
Monmouth,15
Xavier,15
Valparaiso,15
Vanderbilt,15
Wagner,15
Sam Houston St.,15
FIU,15.1
Chicago St.,15.2
UNC Greensboro,15.2
Morehead St.,15.2
Hofstra,15.2
Ga. Southern,15.2
Syracuse,15.3
Louisiana Tech,15.3
Delaware St.,15.3
Albany (NY),15.3
La.-Monroe,15.3
Army,15.3
Southeast Mo. St.,15.3
Saint Peter's,15.3
Mississippi Val.,15.4
Robert Morris,15.4
Northern Colo.,15.4
Grambling,15.4
Rutgers,15.5
Yale,15.5
Marist,15.5
Norfolk St.,15.6
UC Santa Barbara,15.6
Chattanooga,15.6
Tex.-Pan American,15.7
Tennessee St.,15.7
Florida St.,15.7
Iona,15.7
Eastern Mich.,15.7
Mercer,15.8
Jackson St.,15.8
McNeese St.,15.8
Wake Forest,15.8
St. Francis Brooklyn,15.8
Tennessee Tech,15.8
Pepperdine,15.9
Hawaii,15.9
Sacred Heart,15.9
Holy Cross,15.9
Saint Francis (PA),16
Howard,16
Northern Ill.,16
High Point,16.1
Coastal Caro.,16.1
Lipscomb,16.2
Radford,16.3
UMES,16.4
Canisius,16.4
UNC Asheville,16.4
Santa Clara,16.5
Hampton,16.6
Campbell,16.6
Texas St.,16.6
Alabama A&M,16.6
Detroit,16.8
Lafayette,16.8
Georgia Tech,16.8
Southern U.,17
St. Bonaventure,17
Fairleigh Dickinson,17
Savannah St.,17.1
A&M-Corpus Christi,17.1
Toledo,17.1
Georgia,17.4
Kentucky,17.4
Indiana,17.5
Appalachian St.,17.5
Texas Southern,17.7
Cal St. Northridge,17.7
South Carolina St.,17.9
N.C. A&T,18.1
Northwestern St.,19.3
Ark.-Pine Bluff,19.5
