Name,RPG,OPP RPG,REB MAR
Old Dominion,40.2,28,12.2
Pittsburgh,39.9,29.5,10.4
Drexel,40.3,30.8,9.5
Quinnipiac,42.5,33.2,9.3
Morehead St.,37.5,28.2,9.2
Wichita St.,37.5,29.3,8.2
Utah St.,37.5,29.5,8
Kansas,38.6,30.8,7.8
Southern Miss.,38.4,30.8,7.6
Stephen F. Austin,35.5,28.1,7.3
Coastal Caro.,39.4,32.3,7.1
Kansas St.,38,31.2,6.8
San Diego St.,37.4,30.7,6.7
Vermont,38.4,31.8,6.6
Texas,40.5,33.9,6.6
North Carolina,42.5,36,6.5
Texas A&M,36.3,29.8,6.5
New Mexico,37.3,31,6.3
Utah Valley,39.7,33.5,6.3
Florida,37.5,31.4,6.1
Gonzaga,37.4,31.5,5.9
Liberty,38.7,32.8,5.8
Tulsa,37,31.4,5.6
Northern Colo.,36,30.6,5.4
Tennessee Tech,37,31.7,5.3
Oakland,39.1,33.8,5.2
Minnesota,38.1,32.9,5.1
LIU Brooklyn,41.8,36.8,5.1
Ohio St.,34.5,29.7,4.8
Dayton,38.7,33.9,4.8
Marshall,38.2,33.4,4.8
Florida St.,39,34.3,4.7
Georgia,37.7,33,4.7
Cincinnati,35.6,31,4.7
Villanova,37.1,32.5,4.6
Washington,39.3,34.7,4.6
Arkansas St.,36.8,32.2,4.6
UCLA,37.2,32.7,4.5
Davidson,37,32.4,4.5
Notre Dame,36.9,32.5,4.5
Xavier,35.5,31.1,4.4
Baylor,35.1,30.7,4.4
Sam Houston St.,37.3,33,4.3
Kentucky,38.1,33.8,4.2
Michigan St.,37,32.7,4.2
Princeton,34.7,30.6,4.2
Tennessee,38,33.8,4.2
UConn,39.6,35.5,4.1
St. Mary's (CA),34.7,30.6,4
Western Mich.,37.6,33.6,4
Arizona,34.6,30.7,3.9
Belmont,36.4,32.5,3.9
Creighton,35.1,31.2,3.9
Maryland,39,35.2,3.8
Miami (FL),36.4,32.6,3.8
Charleston So.,36.8,33,3.8
Nebraska,35.5,31.7,3.8
Wisconsin,32.1,28.3,3.8
Syracuse,37.8,34.2,3.7
Ill.-Chicago,36.4,32.7,3.6
Morgan St.,36.7,33.1,3.6
Missouri St.,33.1,29.6,3.6
Columbia,36.6,33.1,3.5
La.-Lafayette,37.4,33.9,3.5
North Dakota St.,35.8,32.2,3.5
West Virginia,37.4,33.9,3.5
Santa Clara,35.6,32.1,3.5
Buffalo,35.5,32,3.5
Detroit,37.5,34.1,3.4
Butler,34.9,31.5,3.4
Portland,34.6,31.3,3.4
BYU,38.7,35.4,3.4
Alabama,36.6,33.4,3.2
Chattanooga,38.5,35.3,3.2
Long Beach St.,36.9,33.8,3.2
Lamar,41.2,38,3.1
Holy Cross,36.7,33.6,3.1
American,33.7,30.6,3.1
St. Bonaventure,36.1,33,3
Siena,38.2,35.1,3
James Madison,35.3,32.3,3
Iona,36.6,33.6,3
Oral Roberts,34.4,31.4,2.9
Furman,34.4,31.5,2.9
North Texas,35.3,32.5,2.8
Temple,36.1,33.3,2.8
San Francisco,38,35.2,2.8
Loyola Maryland,35.4,32.6,2.8
Jacksonville,37.3,34.6,2.7
California,35.1,32.4,2.7
Duke,38.3,35.5,2.7
South Fla.,35.4,32.7,2.7
Marquette,36.2,33.5,2.7
Southern Utah,33.7,31,2.7
Loyola Marymount,38.1,35.4,2.7
Citadel,35,32.3,2.7
Georgia St.,35.6,33,2.6
Jackson St.,35,32.4,2.6
Fairfield,36.2,33.8,2.5
Georgetown,33.7,31.3,2.5
Ole Miss,36.1,33.7,2.4
UAB,35.8,33.4,2.4
East Tenn. St.,36.1,33.8,2.4
Colorado,35.8,33.5,2.4
Albany (NY),36.1,33.8,2.3
Middle Tenn.,35.2,32.8,2.3
George Mason,35.1,32.8,2.3
Rice,33.8,31.5,2.3
Murray St.,32.2,29.9,2.3
Harvard,32.2,29.9,2.3
Vanderbilt,36.9,34.7,2.2
Louisiana Tech,36,33.8,2.2
Hawaii,36,33.8,2.2
Pacific,33.5,31.3,2.2
Lipscomb,37.4,35.3,2.1
Oklahoma St.,34.7,32.6,2.1
Pepperdine,35.7,33.6,2.1
Loyola Chicago,34.8,32.8,2
UCF,35.3,33.3,2
Montana,34.8,32.9,1.9
Illinois St.,34,32.1,1.9
La Salle,38.6,36.7,1.8
Clemson,34.7,32.9,1.8
Virginia Tech,34.6,32.8,1.8
Green Bay,34.4,32.7,1.7
UNLV,35.2,33.5,1.7
Illinois,34.8,33.2,1.7
Eastern Ill.,34,32.3,1.7
George Washington,35.5,33.9,1.6
Stanford,34.1,32.5,1.6
Colorado St.,34.2,32.6,1.5
Central Conn. St.,36.2,34.7,1.5
Purdue,35.2,33.8,1.5
San Jose St.,37.3,35.8,1.5
Indiana St.,34.8,33.3,1.5
Nevada,36.8,35.4,1.4
Penn St.,31.6,30.2,1.4
Southern Ill.,33.1,31.8,1.3
Iowa,35,33.7,1.3
Southern California,34,32.8,1.2
Austin Peay,36.1,34.9,1.2
Fresno St.,36,34.9,1.2
South Carolina St.,34.4,33.3,1.2
Wofford,32.5,31.3,1.2
A&M-Corpus Christi,33.7,32.6,1.1
Weber St.,33.5,32.5,1
Kent St.,37.5,36.5,1
Georgia Tech,35.5,34.5,1
Massachusetts,37.9,36.9,1
Indiana,32.8,31.8,0.9
Idaho,33.3,32.3,0.9
Valparaiso,34.8,33.9,0.9
Alabama St.,36.2,35.4,0.9
Northern Ill.,36.7,35.8,0.9
Sacramento St.,35.5,34.6,0.9
Boston U.,36,35.2,0.8
Milwaukee,34.1,33.3,0.8
Providence,38.5,37.7,0.8
Memphis,35.7,34.9,0.7
Gardner-Webb,34.2,33.5,0.7
Northern Ariz.,33.7,33.1,0.6
South Dakota St.,35.3,34.7,0.6
Maine,33.7,33.1,0.6
IUPUI,31.7,31.2,0.6
Charlotte,35.2,34.7,0.6
North Carolina St.,37.2,36.6,0.5
Winthrop,37.4,36.8,0.5
New Mexico St.,35.1,34.5,0.5
Robert Morris,35.1,34.6,0.5
Texas-Arlington,36.2,35.7,0.5
Louisville,36.6,36.1,0.5
UC Riverside,35.1,34.6,0.5
Ball St.,33.7,33.3,0.4
Bucknell,34.1,33.7,0.4
Florida A&M,38.1,37.7,0.4
Cal St. Northridge,34.7,34.3,0.4
Western Caro.,36,35.7,0.4
Fairleigh Dickinson,37.3,37,0.3
Yale,34.3,34,0.3
NJIT,35.8,35.5,0.3
Ohio,36.2,35.9,0.3
Western Ky.,37.1,36.8,0.3
Mississippi Val.,37.7,37.5,0.2
Boise St.,33.1,32.9,0.2
South Carolina,38.1,38,0.2
South Ala.,36.6,36.5,0.1
Colgate,34.1,34,0.1
St. John's (NY),32.8,32.7,0.1
Cal Poly,34,34,0
Fordham,37.9,37.9,0
Appalachian St.,34.4,34.5,-0.1
Campbell,33,33.1,-0.1
Texas St.,37.3,37.5,-0.2
Oregon St.,34.3,34.5,-0.2
IPFW,31.8,32,-0.2
Bethune-Cookman,32.4,32.6,-0.2
Southeast Mo. St.,34.8,35,-0.3
Lehigh,36.7,36.9,-0.3
UC Santa Barbara,32.6,32.9,-0.3
UNC Asheville,35.9,36.2,-0.3
Stony Brook,36.5,36.8,-0.3
Saint Peter's,35.8,36.2,-0.5
Norfolk St.,35.7,36.2,-0.5
Boston College,32.5,32.9,-0.5
Tennessee St.,33.1,33.6,-0.5
Cal St. Fullerton,33.4,33.9,-0.5
Sacred Heart,33,33.6,-0.6
Col. of Charleston,34.7,35.4,-0.6
Mississippi St.,36.1,36.8,-0.7
Utah,35.7,36.5,-0.8
Texas Southern,34.7,35.5,-0.8
Southeastern La.,33.9,34.8,-0.9
Auburn,34.4,35.3,-0.9
Eastern Wash.,34.4,35.3,-0.9
La.-Monroe,30.5,31.5,-0.9
Miami (OH),33.1,34.1,-1
Canisius,35.4,36.4,-1
Fla. Atlantic,33.6,34.6,-1
Savannah St.,33.4,34.4,-1
Rutgers,33.2,34.3,-1.1
Eastern Mich.,35,36.2,-1.2
UNI,29.7,30.9,-1.2
Central Mich.,33.1,34.3,-1.2
New Hampshire,35.3,36.5,-1.2
Howard,34.6,35.8,-1.2
Rider,35.9,37.1,-1.2
McNeese St.,35.3,36.6,-1.2
Cleveland St.,33.6,34.9,-1.3
Monmouth,34.1,35.5,-1.3
Idaho St.,33.2,34.6,-1.4
UTSA,35,36.4,-1.4
William & Mary,31.9,33.4,-1.5
Saint Louis,31.5,33,-1.5
Tulane,31.9,33.4,-1.5
UALR,33.4,35,-1.6
Penn,29.7,31.3,-1.6
TCU,32.8,34.4,-1.6
Washington St.,34.4,36,-1.6
Rhode Island,35.2,36.8,-1.6
UMKC,32.5,34.3,-1.7
Richmond,33.2,34.9,-1.7
Troy,37.7,39.5,-1.8
Stetson,33.1,34.9,-1.8
Alabama A&M,37.8,39.6,-1.8
Coppin St.,36.1,38,-1.8
Army,34,35.8,-1.8
Houston,33.7,35.6,-1.8
UNC Wilmington,33.3,35.1,-1.9
Michigan,32,33.9,-1.9
Seton Hall,35.5,37.4,-1.9
Missouri,35.3,37.3,-1.9
East Carolina,33.5,35.5,-2
Oregon,32.8,34.8,-2.1
Montana St.,34,36,-2.1
Brown,34.3,36.4,-2.1
LSU,34.7,36.8,-2.1
Texas Tech,33.8,35.9,-2.2
Delaware,33,35.2,-2.2
Grambling,36.3,38.5,-2.2
Prairie View,38.4,40.6,-2.3
Mercer,32.8,35.1,-2.3
Virginia,31.4,33.7,-2.3
Iowa St.,36.6,38.9,-2.3
Bradley,32.8,35.1,-2.3
UTEP,33.8,36.2,-2.4
High Point,34,36.5,-2.5
Evansville,30.3,32.7,-2.5
Manhattan,33.7,36.2,-2.5
UNC Greensboro,34.1,36.6,-2.5
Oklahoma,30.3,32.8,-2.6
Bowling Green,33.3,35.9,-2.6
Akron,34.5,37.3,-2.8
Ga. Southern,30.3,33.2,-2.8
Elon,34.3,37.2,-2.9
Duquesne,35.4,38.3,-2.9
Arkansas,34.3,37.2,-2.9
Saint Francis (PA),31.7,34.6,-2.9
SMU,27.3,30.3,-3
Jacksonville St.,29.5,32.6,-3
Kennesaw St.,34.1,37.3,-3.2
Tex.-Pan American,31.7,34.9,-3.2
FIU,33.9,37.1,-3.2
Wyoming,32.3,35.5,-3.2
Radford,35.2,38.4,-3.2
N.C. A&T,36.8,40.1,-3.3
UC Irvine,35.9,39.1,-3.3
UT Martin,33,36.3,-3.3
Portland St.,32.8,36.2,-3.4
Cornell,32.4,35.8,-3.5
Eastern Ky.,28.7,32.2,-3.5
Northwestern St.,36.3,39.9,-3.6
Arizona St.,32,35.5,-3.6
Nicholls St.,28.8,32.5,-3.6
Lafayette,32.2,35.9,-3.7
Toledo,31.3,35,-3.7
Towson,31.1,34.9,-3.7
VCU,32,35.7,-3.7
Northeastern,28.9,32.8,-3.8
Central Ark.,33.3,37.1,-3.9
Mt. St. Mary's,32,35.9,-3.9
Hofstra,32.2,36.1,-3.9
Northwestern,29.6,33.5,-4
St. Francis Brooklyn,33,37.1,-4.2
Marist,33.5,37.7,-4.2
Saint Joseph's,32.4,36.6,-4.2
Hampton,35.7,39.9,-4.3
Wright St.,27.2,31.5,-4.3
UMES,34.2,38.5,-4.4
VMI,37.5,41.9,-4.4
Ark.-Pine Bluff,31.8,36.4,-4.5
Western Ill.,29.8,34.3,-4.6
UMBC,32.5,37.6,-5.1
Bakersfield,33.8,39,-5.1
Binghamton,30.9,36.1,-5.2
Wake Forest,32.5,37.8,-5.3
North Florida,32,37.3,-5.4
Air Force,29.1,34.5,-5.4
Youngstown St.,34.4,39.8,-5.4
UC Davis,30.7,36.1,-5.4
Drake,30,35.6,-5.5
Denver,23.9,29.7,-5.7
Wagner,29.5,35.7,-6.2
Longwood,33.1,39.3,-6.2
Chicago St.,35.5,41.8,-6.2
Hartford,31,37.5,-6.5
San Diego,29,35.9,-6.9
Dartmouth,30.7,38,-7.3
Southern U.,32.9,40.4,-7.4
DePaul,30.5,38.2,-7.7
Niagara,33.2,41.1,-8
Centenary (LA),29.7,38.7,-9
Samford,27.1,36.2,-9.1
Navy,31.6,41,-9.4
Delaware St.,25.3,35,-9.7
Alcorn,35.4,46.1,-10.6
