Name,RPG,OPP RPG,REB MAR
North Carolina,45.1,34.3,10.8
Quinnipiac,43.3,33,10.2
New Mexico St.,39.8,31.3,8.5
Stony Brook,37.6,29.3,8.3
Michigan St.,38,30,8
Ohio St.,37.3,29.4,7.9
South Ala.,39.7,32.2,7.6
Stephen F. Austin,35.3,27.9,7.4
Kentucky,39.1,31.9,7.3
St. Mary's (CA),36.6,29.4,7.2
Marshall,39.7,32.7,7
Buffalo,40.3,33.4,6.9
Bucknell,35.5,28.8,6.7
Pittsburgh,36.5,29.8,6.7
West Virginia,38.2,31.6,6.5
Wichita St.,38,31.5,6.5
Davidson,38.8,32.5,6.4
New Mexico,37.8,31.4,6.4
Gonzaga,36.9,30.6,6.3
Creighton,36.2,30.1,6.1
Old Dominion,40.1,34.1,6.1
Drexel,35.6,29.5,6
Kansas,36.9,31,5.9
Coastal Caro.,37.8,32.1,5.7
Georgetown,36.4,30.7,5.7
Cal St. Fullerton,37.6,31.9,5.6
Tulsa,36.3,30.7,5.6
St. Bonaventure,35.7,30.2,5.5
Cal Poly,34.5,29.1,5.5
Lamar,39.6,34.4,5.2
Baylor,36.4,31.2,5.2
Texas-Arlington,39.3,34.2,5.2
Northern Colo.,34.3,29.3,5
Iowa St.,36.8,31.9,5
Washington,39.9,35,4.9
Western Mich.,37.5,32.7,4.8
San Diego St.,37.1,32.3,4.8
Robert Morris,35.6,30.8,4.8
Savannah St.,36.3,31.5,4.7
Stanford,36.8,32.1,4.7
Yale,37.3,32.6,4.7
Kansas St.,37.1,32.4,4.6
Southern Miss.,36.6,32.1,4.6
USC Upstate,36.7,32.2,4.5
Nevada,37.4,33.1,4.3
California,34.8,30.5,4.3
North Carolina St.,37.2,32.9,4.2
Utah Valley,39.2,35,4.2
Villanova,39.1,34.9,4.2
Indiana,34.5,30.4,4.1
North Texas,39,34.9,4.1
Harvard,32.4,28.3,4.1
Minnesota,34.8,30.8,4
UC Santa Barbara,37.8,33.8,4
Butler,35.5,31.5,4
BYU,38.5,34.7,3.8
Oral Roberts,32,28.3,3.6
South Fla.,34.2,30.6,3.6
Dayton,35.7,32.1,3.5
Tennessee,36.8,33.3,3.5
Rhode Island,38.4,34.9,3.5
Georgia Tech,35.1,31.6,3.5
Colorado,36,32.6,3.4
Florida St.,36.7,33.3,3.4
Vermont,35.3,31.9,3.4
Oklahoma,36.9,33.6,3.2
Virginia,32.5,29.3,3.2
Pepperdine,36.4,33.2,3.1
Manhattan,36,32.8,3.1
Belmont,36.3,33.3,3.1
UAB,35,31.9,3
Texas,36.2,33.2,3
Long Beach St.,35.6,32.6,3
Portland St.,34.8,31.8,3
Mississippi St.,36.6,33.7,2.9
UCLA,34.5,31.6,2.9
Chattanooga,39.2,36.3,2.9
La.-Lafayette,38.3,35.5,2.9
UNLV,37.7,34.8,2.9
Loyola Maryland,35,32.2,2.8
Boise St.,33.6,30.7,2.8
UCF,36.3,33.5,2.8
Ole Miss,38.2,35.4,2.8
Alabama,35.2,32.5,2.7
Wisconsin,33.9,31.2,2.6
UConn,37.4,34.9,2.6
Morehead St.,31,28.4,2.6
Southeast Mo. St.,35.2,32.6,2.5
LIU Brooklyn,38.6,36.1,2.5
Arkansas St.,33.9,31.4,2.5
Southern Utah,32,29.5,2.5
Duke,36.6,34.1,2.5
Furman,34.6,32.1,2.5
Northern Ill.,34.6,32.2,2.5
Tennessee St.,34.2,31.8,2.4
Akron,35.7,33.3,2.4
George Mason,36.4,34.1,2.3
