Name,TOPG
Wisconsin,8.9
Houston,9.1
Eastern Ky.,9.5
Drake,10.1
Michigan,10.2
Utah St.,10.3
Marquette,10.3
Notre Dame,10.4
Temple,10.5
UNI,10.5
William & Mary,10.6
Citadel,10.7
Virginia,10.7
Seton Hall,10.8
Purdue,10.9
DePaul,10.9
Northwestern,11
Rhode Island,11.1
Duke,11.1
Pacific,11.2
New Mexico,11.2
Col. of Charleston,11.2
Richmond,11.3
Ohio St.,11.3
UMBC,11.4
Montana St.,11.4
Memphis,11.4
Delaware St.,11.4
UC Irvine,11.5
Missouri St.,11.5
BYU,11.5
UTSA,11.6
St. Mary's (CA),11.6
Bucknell,11.6
Penn St.,11.6
Manhattan,11.6
Nevada,11.7
Arizona St.,11.7
Hartford,11.7
Wright St.,11.7
West Virginia,11.7
UNLV,11.7
Denver,11.8
Maryland,11.8
Northeastern,11.9
Wofford,11.9
California,12
Bradley,12
Drexel,12.1
Stanford,12.1
Weber St.,12.1
South Dakota St.,12.1
Florida,12.2
Montana,12.2
Kent St.,12.2
Siena,12.2
Texas A&M,12.3
Cornell,12.3
Cleveland St.,12.3
VCU,12.3
Niagara,12.3
South Carolina,12.3
Oklahoma,12.3
Fla. Atlantic,12.3
Winthrop,12.3
Troy,12.3
Indiana St.,12.4
Creighton,12.4
Illinois,12.4
Butler,12.4
Pittsburgh,12.4
Ole Miss,12.4
Virginia Tech,12.5
St. John's (NY),12.5
Green Bay,12.6
Nebraska,12.6
San Jose St.,12.6
South Fla.,12.7
Air Force,12.7
Providence,12.7
Boston College,12.7
Oklahoma St.,12.7
Minnesota,12.7
Stony Brook,12.7
Oregon,12.8
Marshall,12.8
Southern Miss.,12.8
Coastal Caro.,12.8
UMKC,12.8
Ill.-Chicago,12.8
Western Ill.,12.8
Ohio,12.8
Towson,12.8
Washington,12.8
Old Dominion,12.8
LSU,12.8
Alabama,12.8
Bethune-Cookman,12.8
IPFW,12.8
Northern Colo.,12.8
Miami (OH),12.8
Samford,12.9
Rider,12.9
Mississippi St.,12.9
Stephen F. Austin,12.9
New Mexico St.,12.9
Brown,13
Illinois St.,13
Kansas,13
Western Ky.,13
UC Riverside,13
Missouri,13
Lehigh,13
La.-Lafayette,13
Louisiana Tech,13.1
Gonzaga,13.1
Wichita St.,13.1
North Carolina St.,13.1
Cincinnati,13.1
Saint Joseph's,13.1
Loyola Marymount,13.2
UTEP,13.2
Portland,13.2
New Hampshire,13.2
Idaho St.,13.2
North Dakota St.,13.2
Princeton,13.2
Lafayette,13.2
Elon,13.2
Colorado,13.2
Xavier,13.2
Tulsa,13.2
Tennessee,13.2
Middle Tenn.,13.3
Delaware,13.3
Nicholls St.,13.3
UAB,13.3
Saint Louis,13.3
Charlotte,13.4
Youngstown St.,13.4
Mt. St. Mary's,13.4
Central Conn. St.,13.4
UALR,13.4
San Diego,13.4
San Diego St.,13.4
Dartmouth,13.4
Utah Valley,13.4
Akron,13.4
Cal Poly,13.5
Sam Houston St.,13.5
Fairfield,13.5
Portland St.,13.5
Southern Ill.,13.5
Boston U.,13.5
Georgia St.,13.5
Morgan St.,13.5
George Mason,13.5
Eastern Ill.,13.5
Iona,13.5
Davidson,13.6
FIU,13.6
Eastern Mich.,13.6
Western Mich.,13.6
Oral Roberts,13.6
Pepperdine,13.6
Utah,13.6
Auburn,13.7
Milwaukee,13.7
Louisville,13.7
Vanderbilt,13.7
SMU,13.7
Valparaiso,13.7
Arkansas,13.7
Texas Tech,13.7
Hofstra,13.7
Tulane,13.7
Iowa,13.8
Oakland,13.8
Georgetown,13.8
Quinnipiac,13.8
Loyola Chicago,13.8
Jacksonville St.,13.8
Villanova,13.8
Arkansas St.,13.9
Washington St.,13.9
Texas,13.9
Idaho,13.9
Massachusetts,13.9
Baylor,13.9
Iowa St.,13.9
Coppin St.,14
Bowling Green,14
Fresno St.,14
Western Caro.,14
Michigan St.,14
TCU,14
Vermont,14.1
Miami (FL),14.1
Rice,14.1
Arizona,14.1
Buffalo,14.1
IUPUI,14.1
LIU Brooklyn,14.1
Sacramento St.,14.1
Marist,14.1
Binghamton,14.2
Central Mich.,14.2
Prairie View,14.2
Yale,14.3
UCF,14.3
Campbell,14.3
Hawaii,14.3
Austin Peay,14.3
Boise St.,14.3
Columbia,14.3
UNC Greensboro,14.3
George Washington,14.3
McNeese St.,14.3
Tex.-Pan American,14.3
Long Beach St.,14.3
Maine,14.4
Evansville,14.4
UCLA,14.4
St. Bonaventure,14.4
Monmouth,14.4
Holy Cross,14.4
Furman,14.4
South Ala.,14.4
Duquesne,14.5
James Madison,14.5
Southern California,14.5
Kansas St.,14.5
Ball St.,14.5
Toledo,14.5
Kentucky,14.5
Kennesaw St.,14.5
Rutgers,14.6
Morehead St.,14.6
Stetson,14.6
Dayton,14.6
Jackson St.,14.6
Lipscomb,14.6
Cal St. Fullerton,14.6
Murray St.,14.6
North Texas,14.7
VMI,14.7
San Francisco,14.7
Robert Morris,14.7
Canisius,14.7
Navy,14.8
Jacksonville,14.8
American,14.8
Howard,14.8
Mercer,14.8
