Name,Turnover Margin
VMI,9.5
Missouri,6.5
South Carolina,6.1
Longwood,5.8
Nebraska,5.8
Houston,5.5
Davidson,5.4
Duke,4.1
Akron,4.1
UTSA,4
UNLV,4
Creighton,3.9
Gonzaga,3.8
Northwestern,3.8
Siena,3.8
Marquette,3.7
Eastern Ky.,3.6
UT Martin,3.6
West Virginia,3.6
UCLA,3.6
Kansas St.,3.5
Cleveland St.,3.5
Kent St.,3.5
Purdue,3.5
Niagara,3.4
Florida,3.3
Memphis,3.3
Auburn,3.2
Coppin St.,3.2
North Carolina,3.2
Maryland,3.2
Richmond,3.1
Middle Tenn.,2.9
Clemson,2.9
Oklahoma St.,2.8
Stephen F. Austin,2.8
Stony Brook,2.8
Chicago St.,2.8
Western Caro.,2.7
Louisville,2.7
Seton Hall,2.7
UAB,2.7
Wright St.,2.6
Nicholls St.,2.6
East Tenn. St.,2.5
BYU,2.5
Alabama A&M,2.4
Michigan,2.4
New Mexico,2.4
Army,2.4
Southern Miss.,2.3
Green Bay,2.3
Duquesne,2.3
Stanford,2.3
Charlotte,2.2
North Dakota St.,2.2
Centenary (LA),2.2
Villanova,2.1
Fordham,2.1
UTEP,2.1
UMBC,2
San Diego St.,2
Rhode Island,2
Morgan St.,2
Cal St. Fullerton,2
Belmont,2
VCU,1.9
Liberty,1.9
Tennessee,1.8
Evansville,1.8
Mt. St. Mary's,1.8
San Diego,1.7
Jacksonville,1.7
Nevada,1.7
Troy,1.6
Texas St.,1.6
Vermont,1.5
Binghamton,1.5
Tulane,1.5
Florida A&M,1.5
Idaho,1.5
Northeastern,1.4
Marshall,1.4
Illinois,1.3
Wisconsin,1.3
Cal Poly,1.3
Texas,1.3
Murray St.,1.3
New Mexico St.,1.3
Loyola Chicago,1.2
Arkansas,1.2
Baylor,1.1
Pittsburgh,1.1
LSU,1.1
Col. of Charleston,1.1
IUPUI,1.1
Bethune-Cookman,1.1
Columbia,1.1
Central Mich.,1
Lamar,1
Penn St.,0.9
Dayton,0.9
George Mason,0.9
TCU,0.9
Tennessee Tech,0.9
Prairie View,0.9
Stetson,0.9
Notre Dame,0.9
Butler,0.9
Austin Peay,0.8
Navy,0.8
Cornell,0.8
Ohio,0.8
Texas-Arlington,0.7
Robert Morris,0.7
Hampton,0.7
Buffalo,0.7
Portland St.,0.7
Norfolk St.,0.6
San Francisco,0.6
Savannah St.,0.6
Arizona St.,0.6
UC Riverside,0.6
Minnesota,0.6
Old Dominion,0.6
Georgia St.,0.5
Bradley,0.5
Saint Peter's,0.5
California,0.5
Alcorn,0.5
Samford,0.4
Manhattan,0.4
Hartford,0.4
Penn,0.4
Oral Roberts,0.4
UC Santa Barbara,0.4
DePaul,0.4
Mississippi Val.,0.3
Sam Houston St.,0.3
Illinois St.,0.3
Pacific,0.3
UMKC,0.3
Harvard,0.3
Drake,0.3
La.-Lafayette,0.2
Wake Forest,0.2
UC Irvine,0.2
Campbell,0.2
LIU Brooklyn,0.2
Rider,0.2
Providence,0.2
Jacksonville St.,0.2
Missouri St.,0.2
UNC Wilmington,0.2
Dartmouth,0.1
Colorado,0.1
Western Ky.,0.1
Washington,0.1
Denver,0.1
Ohio St.,0.1
Wagner,0
Iona,0
Loyola Maryland,0
Delaware,0
Valparaiso,0
Boston U.,0
Alabama,-0.1
Eastern Wash.,-0.1
New Orleans,-0.1
Lehigh,-0.1
Southeastern La.,-0.1
Oakland,-0.1
Michigan St.,-0.2
Georgetown,-0.2
Elon,-0.2
UCF,-0.2
Colorado St.,-0.2
Youngstown St.,-0.2
IPFW,-0.2
Florida St.,-0.2
Citadel,-0.3
North Texas,-0.3
Jackson St.,-0.3
Texas A&M,-0.3
Cal St. Northridge,-0.4
Wofford,-0.4
Portland,-0.4
Yale,-0.4
American,-0.4
St. John's (NY),-0.4
Gardner-Webb,-0.5
Bowling Green,-0.5
Northern Ill.,-0.5
Fairfield,-0.5
Idaho St.,-0.5
Miami (FL),-0.5
Weber St.,-0.5
Long Beach St.,-0.5
Montana,-0.6
Southern Ill.,-0.6
Tex.-Pan American,-0.6
Massachusetts,-0.6
Syracuse,-0.6
Loyola Marymount,-0.6
Georgia Tech,-0.6
Western Ill.,-0.6
Eastern Ill.,-0.6
UConn,-0.6
Saint Joseph's,-0.7
Holy Cross,-0.7
Oregon St.,-0.7
Utah St.,-0.7
Arizona,-0.7
New Hampshire,-0.7
Virginia,-0.8
N.C. A&T,-0.8
Temple,-0.8
Mississippi St.,-0.8
Alabama St.,-0.8
Washington St.,-0.8
Sacred Heart,-0.8
Kansas,-0.8
Wichita St.,-0.8
Boston College,-0.8
Quinnipiac,-0.9
Texas Tech,-0.9
Fresno St.,-0.9
Northern Ariz.,-0.9
Virginia Tech,-0.9
Cincinnati,-0.9
UNI,-0.9
UALR,-1
James Madison,-1.1
Saint Louis,-1.1
Furman,-1.1
Central Conn. St.,-1.1
Southern California,-1.1
Oklahoma,-1.1
Ole Miss,-1.1
Ga. Southern,-1.1
Chattanooga,-1.1
UC Davis,-1.2
Western Mich.,-1.2
Drexel,-1.2
Milwaukee,-1.2
Princeton,-1.2
South Fla.,-1.2
Ball St.,-1.2
William & Mary,-1.3
Lafayette,-1.3
South Dakota St.,-1.3
Fla. Atlantic,-1.3
Iowa St.,-1.4
Hofstra,-1.4
La Salle,-1.4
Rice,-1.4
Montana St.,-1.4
Iowa,-1.4
Southern Utah,-1.5
Northern Colo.,-1.5
Air Force,-1.5
A&M-Corpus Christi,-1.5
Louisiana Tech,-1.5
Boise St.,-1.5
UNC Asheville,-1.6
Maine,-1.6
East Carolina,-1.6
Coastal Caro.,-1.6
St. Francis Brooklyn,-1.6
San Jose St.,-1.7
Indiana St.,-1.8
Hawaii,-1.8
High Point,-1.9
La.-Monroe,-2
Charleston So.,-2
Northwestern St.,-2.1
Monmouth,-2.1
Pepperdine,-2.1
Xavier,-2.2
Tennessee St.,-2.3
FIU,-2.3
Eastern Mich.,-2.3
George Washington,-2.3
Texas Southern,-2.3
Howard,-2.4
Lipscomb,-2.4
SMU,-2.4
Vanderbilt,-2.5
Morehead St.,-2.5
Bucknell,-2.5
Fairleigh Dickinson,-2.6
Ark.-Pine Bluff,-2.6
Grambling,-2.6
UNC Greensboro,-2.6
Georgia,-2.6
Kentucky,-2.6
Mercer,-2.6
Colgate,-2.7
Sacramento St.,-2.8
Detroit,-2.8
Marist,-2.8
Tulsa,-2.8
Radford,-2.8
South Ala.,-2.8
Albany (NY),-2.9
St. Bonaventure,-2.9
Delaware St.,-2.9
UMES,-3.1
Saint Francis (PA),-3.1
Canisius,-3.2
Utah,-3.2
Wyoming,-3.3
North Carolina St.,-3.3
Indiana,-3.4
Toledo,-3.5
Rutgers,-3.6
Southeast Mo. St.,-3.6
McNeese St.,-3.7
Southern U.,-3.8
Brown,-4
South Carolina St.,-4.4
Santa Clara,-4.4
Appalachian St.,-5.2
Appalachian St.,
Texas Southern,
Cal St. Northridge,
South Carolina St.,
N.C. A&T,
Northwestern St.,
Ark.-Pine Bluff,
