Name,TOPG
Temple,10
Wisconsin,10.5
Cincinnati,10.6
Butler,10.6
Texas Tech,11
St. Louis,11.1
UNC Wilmington,11.5
Indiana,11.5
Air Force,11.5
Georgia,11.6
Miami (OH),11.6
Mississippi Val.,11.7
Princeton,11.8
Oklahoma,11.8
Detroit,11.8
New Mexico,11.8
Utah St.,12.3
Richmond,12.3
Wright St.,12.3
Dartmouth,12.3
UC Santa Barbara,12.4
St. Bonaventure,12.4
UMKC,12.4
William & Mary,12.5
Akron,12.5
Southern Ill.,12.5
Ill.-Chicago,12.5
Albany (NY),12.6
Weber St.,12.7
Kent St.,12.8
Notre Dame,12.8
Ball St.,12.8
East Carolina,12.9
Northwestern,12.9
St. John's (NY),12.9
Nevada,12.9
St. Joseph's,12.9
Utah,12.9
South Ala.,13
Penn,13
Pepperdine,13
Eastern Ill.,13
Xavier,13
American,13.1
Illinois,13.2
Arkansas St.,13.2
Kansas St.,13.2
West Virginia,13.2
Cal St. Fullerton,13.2
Alabama,13.3
Baylor,13.3
Dayton,13.3
Denver,13.3
South Carolina,13.3
Old Dominion,13.3
Creighton,13.3
Boston College,13.3
Florida,13.4
Indiana St.,13.4
Rider,13.4
Boston U.,13.4
Louisville,13.4
UNI,13.4
Morehead St.,13.4
Delaware,13.4
Texas,13.4
Marist,13.4
Clemson,13.5
Iowa St.,13.5
Missouri St.,13.5
Pacific,13.5
Drexel,13.5
New Mexico St.,13.5
Stephen F. Austin,13.5
Wyoming,13.6
Southeast Mo. St.,13.6
Marquette,13.6
Western Mich.,13.6
Missouri,13.6
Murray St.,13.6
Syracuse,13.6
Mississippi,13.6
Robert Morris,13.6
Rutgers,13.6
San Francisco,13.7
Idaho,13.7
Oregon St.,13.7
Rhode Island,13.7
Delaware St.,13.7
Charlotte,13.7
Montana,13.7
Troy,13.7
Montana St.,13.8
Memphis,13.8
Southeastern La.,13.8
Purdue,13.8
Hartford,13.8
LSU,13.9
Ohio St.,13.9
BYU,13.9
Holy Cross,13.9
Arizona St.,13.9
VCU,14
Colorado,14
Loyola (IL),14
Duke,14
Kentucky,14.1
Col. of Charleston,14.1
Maryland,14.1
Michigan,14.1
San Jose St.,14.1
Oakland,14.1
Bradley,14.2
California,14.2
North Carolina St.,14.2
Boise St.,14.2
Manhattan,14.2
Lehigh,14.2
Portland,14.3
Colgate,14.3
Oral Roberts,14.3
Louisiana Tech,14.3
Providence,14.3
Canisius,14.3
Tulsa,14.3
Radford,14.3
La Salle,14.3
Lafayette,14.3
Stanford,14.4
Nebraska,14.4
UC Irvine,14.4
Vermont,14.4
Tulane,14.5
Buffalo,14.5
Winthrop,14.5
Gonzaga,14.5
Michigan St.,14.5
Drake,14.6
Charleston So.,14.6
DePaul,14.6
Fairleigh Dickinson,14.6
Niagara,14.6
UNLV,14.6
Wofford,14.6
Georgia St.,14.6
Eastern Ky.,14.6
Stetson,14.7
Virginia Tech,14.7
Oklahoma St.,14.7
UAB,14.7
Marshall,14.7
Prairie View,14.7
Hawaii,14.7
Arizona,14.8
Seton Hall,14.8
Coppin St.,14.9
Illinois St.,14.9
Southern California,14.9
Kansas,14.9
Texas A&M,14.9
Florida St.,14.9
San Diego St.,14.9
Monmouth,14.9
St. Peter's,14.9
Green Bay,14.9
Wagner,14.9
Milwaukee,14.9
Idaho St.,15
Furman,15
North Carolina,15
Samford,15
Iowa,15
James Madison,15.1
Tennessee,15.1
Binghamton,15.1
Mt. St. Mary's,15.1
Western Ky.,15.1
VMI,15.1
Jacksonville St.,15.1
Pittsburgh,15.1
Wake Forest,15.1
Valparaiso,15.1
Eastern Mich.,15.1
South Fla.,15.2
Santa Clara,15.2
Georgia Tech,15.2
Tex.-Pan American,15.2
Howard,15.2
Southern Utah,15.2
Md.-East. Shore,15.2
Oregon,15.2
Texas Southern,15.2
Ohio,15.2
Citadel,15.3
Austin Peay,15.3
Tenn.-Martin,15.3
Minnesota,15.3
Iona,15.3
Northeastern,15.4
La.-Lafayette,15.4
Southern Miss.,15.4
TCU,15.4
Central Conn. St.,15.4
Texas-Arlington,15.4
Cornell,15.5
Centenary (LA),15.5
St. Francis (PA),15.5
Western Ill.,15.6
Yale,15.6
Mississippi St.,15.6
Massachusetts,15.7
UCF,15.7
Washington,15.7
George Mason,15.7
Brown,15.7
Stony Brook,15.7
Quinnipiac,15.7
Sacred Heart,15.8
Wichita St.,15.8
Connecticut,15.8
Fresno St.,15.8
SMU,15.8
Southern U.,15.8
Morgan St.,15.8
Campbell,15.9
Sam Houston St.,15.9
Bethune-Cookman,15.9
Loyola Marymount,15.9
Penn St.,15.9
Evansville,15.9
Georgetown,15.9
Siena,16
IPFW,16
Auburn,16
Ga. Southern,16
FIU,16
Bucknell,16
Cal Poly,16
IUPUI,16
Vanderbilt,16
Villanova,16.1
Toledo,16.1
Washington St.,16.1
Jackson St.,16.1
UCLA,16.1
Youngstown St.,16.2
High Point,16.2
UMBC,16.2
Texas St.,16.2
Morris Brown,16.2
Western Caro.,16.2
New Hampshire,16.2
Virginia,16.3
UNC Greensboro,16.3
Elon,16.3
George Washington,16.3
McNeese St.,16.3
UNC Asheville,16.4
Grambling,16.4
Appalachian St.,16.4
Middle Tenn.,16.4
Rice,16.5
Miami (FL),16.5
Mercer,16.6
Sacramento St.,16.6
New Orleans,16.6
Northern Ariz.,16.6
Bowling Green,16.6
UTSA,16.6
Chattanooga,16.7
UALR,16.7
Arkansas,16.7
Coastal Caro.,16.7
Alabama St.,16.8
Fla. Atlantic,16.8
St. Mary's (CA),16.9
Colorado St.,16.9
Harvard,16.9
UC Riverside,16.9
N.C. A&T,16.9
Belmont,16.9
Cal St. Northridge,16.9
Long Beach St.,17
A&M-Corpus Christi,17
La.-Monroe,17
Northern Ill.,17
Navy,17
Columbia,17.1
Fairfield,17.1
Jacksonville,17.1
Norfolk St.,17.1
Army,17.1
Eastern Wash.,17.2
Cleveland St.,17.2
Long Island,17.3
Tennessee Tech,17.4
Florida A&M,17.4
North Texas,17.4
Houston,17.4
Chicago St.,17.4
Fordham,17.5
Loyola (MD),17.5
Tennessee St.,17.6
UTEP,17.6
Nicholls St.,17.6
Hampton,17.7
St. Francis (NY),17.7
Lamar,17.7
Portland St.,17.9
Central Mich.,17.9
Davidson,18
Maine,18.1
San Diego,18.1
Liberty,18.2
East Tenn. St.,18.2
Alcorn St.,18.5
Hofstra,18.5
Northwestern St.,18.6
Alabama A&M,18.7
Duquesne,18.9
Ark.-Pine Bluff,19
Savannah St.,19.4
South Carolina St.,19.5
Towson,20.4
