Name,RPG,OPP RPG,REB MAR
North Carolina,44.2,32.8,11.4
New Mexico St.,41.7,32.8,8.9
UCLA,36.1,27.7,8.4
Kansas St.,41.4,33.3,8
Stanford,38.8,30.8,8
Kansas,38.9,31,7.8
Albany (NY),37.5,30.2,7.3
Michigan St.,37.2,30.1,7.1
Texas A&M,39.3,32.2,7.1
Sam Houston St.,41.2,34.5,6.7
Indiana,38,31.3,6.7
Memphis,40.8,34.3,6.5
Southern Miss.,38.1,31.6,6.5
South Ala.,37.2,30.8,6.4
North Texas,38.6,32.4,6.3
UConn,41.9,35.7,6.3
Wichita St.,36.4,30.2,6.2
Washington,38.2,32,6.2
Xavier,36.1,29.9,6.1
Notre Dame,41.6,35.8,5.8
Chattanooga,39.7,34,5.7
Wisconsin,35.9,30.2,5.7
McNeese St.,39.3,33.6,5.7
Alabama St.,38.6,33,5.6
Holy Cross,33.5,27.9,5.6
Syracuse,39.8,34.3,5.5
Tulsa,37.8,32.3,5.5
Virginia,39.6,34.2,5.4
Ole Miss,40.6,35.2,5.4
UALR,36.4,31.2,5.3
Gonzaga,37.5,32.3,5.2
Wagner,40.8,35.8,5
Quinnipiac,38.3,33.3,5
Morgan St.,37.4,32.4,4.9
Western Mich.,35.6,30.7,4.9
Dayton,34.5,29.6,4.9
BYU,39,34.2,4.8
Illinois,36.2,31.4,4.7
Virginia Tech,37.7,33,4.7
Pacific,33.5,28.9,4.6
Mississippi St.,40.9,36.4,4.5
Arkansas,36.8,32.3,4.5
San Jose St.,36.8,32.3,4.4
Pittsburgh,37.8,33.4,4.4
Davidson,37.1,32.8,4.3
Northern Ariz.,34.2,29.9,4.3
Georgia,38.3,34.2,4.1
George Mason,34.4,30.4,4.1
Oakland,36.7,32.7,4
Southeastern La.,36.1,32.1,4
Rider,37.4,33.5,3.9
Northern Colo.,35.6,31.8,3.8
St. Mary's (CA),38.1,34.4,3.8
A&M-Corpus Christi,37.8,34.1,3.8
Utah St.,32.5,28.7,3.7
La Salle,37.1,33.3,3.7
Winthrop,35.6,31.9,3.6
Florida,35.8,32.2,3.6
Santa Clara,31.8,28.3,3.5
Texas-Arlington,38.1,34.7,3.5
Cleveland St.,35,31.5,3.5
Stephen F. Austin,34.3,30.8,3.5
Tennessee Tech,37.7,34.3,3.4
California,36.1,32.7,3.3
High Point,35,31.7,3.3
Western Ky.,35,31.7,3.3
Portland,34.5,31.2,3.3
Cincinnati,36.5,33.4,3.2
Utah,32.2,29,3.1
UNC Wilmington,35.4,32.2,3.1
Drake,34,30.9,3.1
San Diego St.,34,31,3
Alabama,38.2,35.2,3
Nevada,36.9,33.9,3
Morehead St.,32.6,29.7,3
Oklahoma,36,33,2.9
Louisville,37.8,34.8,2.9
Hofstra,37,34.1,2.9
Weber St.,32.1,29.2,2.9
Southern Utah,32.9,30.1,2.8
Ga. Southern,37.7,35,2.7
Ohio,33.4,30.7,2.7
Old Dominion,36.8,34.2,2.7
Villanova,36.1,33.4,2.7
UAB,36.8,34.2,2.6
Georgetown,35,32.4,2.6
New Mexico,34.7,32.1,2.6
Murray St.,34,31.4,2.6
Oral Roberts,35.9,33.4,2.5
Texas,37.8,35.3,2.5
Rhode Island,38.1,35.6,2.5
Robert Morris,35.7,33.2,2.5
Clemson,38.6,36.2,2.5
LIU Brooklyn,39.5,37,2.4
Marquette,36.6,34.2,2.4
Lipscomb,37.7,35.3,2.4
American,32,29.6,2.4
Portland St.,34.3,31.9,2.4
Wofford,34.7,32.3,2.3
Boise St.,36,33.7,2.3
Georgia St.,32.8,30.6,2.2
UC Riverside,32.4,30.1,2.2
Vermont,36.7,34.5,2.1
Miami (FL),38,35.9,2.1
VCU,36.2,34.1,2.1
Missouri St.,33.4,31.3,2.1
Central Conn. St.,35,33,2.1
Nebraska,34.1,32.1,2.1
Iowa,32.5,30.4,2
IUPUI,31.5,29.5,2
Maryland,37.9,35.9,2
Loyola Maryland,35.8,33.8,2
Jacksonville,35.9,33.9,2
West Virginia,35.9,33.9,1.9
Oregon,34.1,32.2,1.9
Kentucky,33.7,31.9,1.9
Belmont,36.8,35,1.8
Marshall,34.3,32.5,1.8
San Diego,33.7,31.9,1.8
Radford,37.8,36.1,1.7
South Carolina St.,39.9,38.2,1.7
FIU,34.2,32.5,1.7
Cal St. Fullerton,36.1,34.4,1.7
Creighton,34.5,32.8,1.7
South Fla.,36.9,35.3,1.7
Montana St.,34,32.5,1.6
Fla. Atlantic,34.7,33.2,1.5
Campbell,36.7,35.2,1.5
UNC Asheville,36.7,35.2,1.5
Kent St.,33.3,31.9,1.4
N.C. A&T,36.6,35.3,1.3
Penn St.,34.4,33.1,1.3
Southern Ill.,31.5,30.2,1.3
Tennessee,38.1,36.9,1.2
Buffalo,38.4,37.2,1.2
Cornell,33.9,32.7,1.2
Maine,35.8,34.7,1.2
Marist,35.7,34.6,1.2
Ill.-Chicago,34.4,33.2,1.2
Wright St.,32.3,31.2,1.1
UNI,32.4,31.3,1.1
Appalachian St.,35.1,34.1,1
Minnesota,33.7,32.7,1
UCF,34.9,33.9,1
Eastern Ill.,32.4,31.5,0.9
Hampton,37.6,36.7,0.9
St. Francis Brooklyn,36.7,35.8,0.8
Illinois St.,33,32.2,0.8
Boston College,35.6,34.8,0.8
Cal St. Northridge,37.1,36.4,0.7
Texas St.,42.2,41.6,0.7
Wyoming,35.9,35.2,0.6
Iona,34.8,34.2,0.6
Duquesne,38.2,37.6,0.6
Columbia,32.8,32.2,0.6
TCU,35.7,35.1,0.6
Ohio St.,35.1,34.6,0.6
Grambling,38.8,38.3,0.5
Southern California,33.7,33.2,0.5
Western Caro.,34.9,34.4,0.5
Eastern Mich.,32.8,32.3,0.5
Duke,37.1,36.6,0.5
James Madison,33.3,32.8,0.5
Yale,32.3,31.8,0.5
George Washington,35.7,35.2,0.5
St. John's (NY),34.4,34,0.4
UNC Greensboro,34.1,33.7,0.4
Northeastern,32.6,32.2,0.4
Northern Ill.,35.4,35,0.3
UT Martin,37.2,36.9,0.3
Lamar,35.1,34.8,0.3
Fairfield,32.9,32.6,0.2
Milwaukee,36,35.8,0.2
Valparaiso,33.9,33.7,0.2
Colgate,34,33.8,0.1
Washington St.,29.2,29.1,0.1
Baylor,37.4,37.3,0.1
Florida St.,33.6,33.6,0
Saint Joseph's,32.2,32.2,0
Purdue,32.6,32.7,-0.1
Middle Tenn.,31.2,31.2,-0.1
Niagara,38.3,38.4,-0.1
Liberty,32,32.1,-0.1
Norfolk St.,35.8,35.9,-0.1
Providence,34.7,34.8,-0.1
Stetson,34.4,34.6,-0.2
Savannah St.,33.8,34,-0.2
Northwestern St.,36.9,37.1,-0.2
Charleston So.,37.3,37.5,-0.2
Miami (OH),30.8,31,-0.3
Loyola Chicago,32.5,32.9,-0.4
Col. of Charleston,35.6,36,-0.4
Arizona St.,30.2,30.7,-0.5
