Name,RPG,OPP RPG,REB MAR
Michigan St.,38.9,29,9.9
Pittsburgh,39.8,29.9,9.9
Albany (NY),38.9,30.2,8.7
Washington,41,32.5,8.4
Xavier,39.5,31.1,8.4
UConn,42.7,34.5,8.3
Morehead St.,38.9,30.9,8
Appalachian St.,39.4,31.9,7.5
South Carolina St.,39.7,32.3,7.4
North Carolina,42.2,34.8,7.4
Kansas,38.9,31.6,7.3
St. Mary's (CA),39.6,32.4,7.2
Utah St.,34.6,27.6,7
Radford,41.4,34.4,6.9
Holy Cross,36,29.3,6.7
Lipscomb,39.4,32.8,6.6
Kansas St.,39.2,32.7,6.6
Old Dominion,37.1,30.9,6.2
Memphis,39.5,33.3,6.2
Tulsa,37.6,31.5,6.1
Wake Forest,41,34.9,6
Quinnipiac,38.1,32.1,6
West Virginia,38.3,32.5,5.9
South Ala.,37.8,32,5.8
Oklahoma,39.2,33.6,5.6
Miami (FL),40.1,34.5,5.6
Jacksonville,37.5,31.9,5.6
LSU,39.5,33.9,5.5
Southern California,35.8,30.3,5.5
Buffalo,37,31.5,5.5
Wichita St.,34.2,28.8,5.3
Hofstra,40.8,35.5,5.3
Dayton,38,32.7,5.3
Texas A&M,37.1,31.8,5.3
Kentucky,37.2,32,5.2
Drexel,40,34.9,5.1
La Salle,38.3,33.3,5
Utah,35.1,30.2,4.9
Illinois St.,36.7,31.9,4.8
Western Ky.,37,32.2,4.8
Vanderbilt,36.9,32.2,4.7
Texas,38.8,34.1,4.7
Tennessee,39,34.4,4.6
North Dakota St.,35.5,31.1,4.5
Santa Clara,35.1,30.8,4.3
Hawaii,34.7,30.4,4.2
BYU,36.6,32.4,4.2
Villanova,37.4,33.3,4.1
LIU Brooklyn,39.1,35.1,4.1
Morgan St.,38.1,34.2,3.9
UCLA,33,29.2,3.8
A&M-Corpus Christi,37.6,33.8,3.8
St. Bonaventure,38.7,35,3.7
San Jose St.,36.1,32.4,3.7
Cincinnati,37.7,34,3.7
Cal St. Northridge,37.3,33.7,3.6
McNeese St.,39,35.4,3.6
Bethune-Cookman,35.2,31.7,3.5
Sam Houston St.,37.9,34.4,3.5
North Carolina St.,35.8,32.4,3.4
UC Riverside,33,29.7,3.4
High Point,37.8,34.5,3.3
Chattanooga,39.4,36.1,3.3
Butler,34.2,30.9,3.3
Southern U.,37.1,33.9,3.2
Gonzaga,37.9,34.7,3.2
Ill.-Chicago,37.3,34.1,3.2
UNI,33.5,30.4,3.2
Charleston So.,37.9,34.8,3.1
Temple,36.9,33.8,3.1
Cornell,35.5,32.4,3.1
Murray St.,34.3,31.2,3.1
Duke,36.6,33.6,3
Virginia Tech,37.1,34.1,3
Wisconsin,31.1,28.1,3
Lehigh,39.6,36.6,3
Boston College,37.2,34.3,2.9
Washington St.,32.6,29.6,2.9
American,33,30.1,2.9
Texas St.,39,36.1,2.9
Manhattan,36.6,33.8,2.9
George Mason,36.3,33.4,2.8
Rhode Island,36.6,33.8,2.8
Middle Tenn.,34.1,31.3,2.8
Oral Roberts,36.2,33.5,2.7
St. John's (NY),36.7,34,2.7
New Mexico,34.3,31.6,2.6
Louisville,38,35.5,2.5
Alabama,39.5,37,2.5
San Diego St.,33.8,31.4,2.5
Jackson St.,36.5,34,2.5
Mercer,39.3,36.9,2.4
Arizona,33.9,31.4,2.4
Southern Utah,30.2,27.8,2.4
Minnesota,34.6,32.2,2.4
Arkansas St.,36.5,34.1,2.4
North Texas,37.3,35,2.3
Marquette,35.6,33.2,2.3
Penn St.,33.4,31.1,2.3
Portland,33.7,31.4,2.3
Pacific,32.3,30,2.3
California,33.7,31.4,2.3
UALR,34.8,32.6,2.2
Syracuse,39.7,37.5,2.2
Georgia Tech,39.1,36.9,2.2
Prairie View,37.5,35.3,2.2
Southeastern La.,36.2,34.2,2
Rutgers,36.8,34.8,2
Northern Ariz.,31.3,29.3,1.9
Citadel,33.3,31.4,1.9
Western Caro.,36.2,34.3,1.9
UCF,34.6,32.7,1.9
Campbell,36.8,34.9,1.9
Montana St.,34.9,33,1.9
Lamar,36.8,35,1.8
Wofford,34.1,32.2,1.8
Milwaukee,38.5,36.7,1.8
Davidson,38.8,37.1,1.8
Louisiana Tech,33.5,31.7,1.8
Northern Colo.,32.3,30.5,1.8
Mt. St. Mary's,34.8,33.1,1.7
Robert Morris,33.3,31.6,1.7
Arkansas,37.6,36,1.7
New Hampshire,36,34.4,1.7
Clemson,36.9,35.3,1.6
Arizona St.,31.3,29.7,1.6
Eastern Ill.,34.1,32.6,1.5
Bowling Green,35.9,34.4,1.5
Northwestern St.,41,39.5,1.5
SMU,35.2,33.7,1.5
East Tenn. St.,37.8,36.3,1.5
Southern Miss.,34,32.6,1.4
Marshall,32.6,31.2,1.4
Virginia,36.8,35.4,1.4
Nevada,36.5,35,1.4
Yale,33.4,32,1.4
Stephen F. Austin,35.2,33.8,1.4
Gardner-Webb,38.1,36.8,1.3
Texas-Arlington,35.9,34.5,1.3
Stony Brook,35.1,33.8,1.3
IUPUI,31,29.7,1.3
Chicago St.,38.1,36.8,1.3
South Dakota St.,34.2,33,1.2
UTEP,38.3,37.1,1.2
Alabama St.,35.6,34.4,1.2
Wyoming,35.8,34.7,1.2
UC Santa Barbara,32.7,31.6,1.1
Jacksonville St.,34.9,33.8,1.1
Ark.-Pine Bluff,38,37,1
Providence,37.6,36.6,1
UT Martin,36.8,35.8,1
Saint Louis,32.4,31.5,1
Coastal Caro.,36.8,35.8,1
Portland St.,34.2,33.3,0.9
Ball St.,34.5,33.7,0.9
Savannah St.,33.4,32.6,0.8
Ole Miss,37.1,36.3,0.8
Youngstown St.,35.5,34.8,0.8
Notre Dame,39.2,38.4,0.8
Georgia,37.6,36.8,0.8
Florida St.,35.9,35.1,0.7
Evansville,33.6,32.9,0.6
Cleveland St.,34.4,33.8,0.6
Eastern Mich.,34.4,33.8,0.6
Northeastern,31,30.4,0.6
Iona,33.1,32.5,0.5
FIU,34.4,33.8,0.5
UMES,35.9,35.4,0.5
James Madison,34.3,33.9,0.4
Missouri,37,36.6,0.4
George Washington,35.3,34.9,0.3
William & Mary,34.1,33.8,0.3
Miami (OH),31.9,31.6,0.3
Oakland,33.9,33.6,0.3
Saint Joseph's,34.5,34.3,0.2
Florida,34.4,34.2,0.2
Vermont,35.4,35.2,0.2
Weber St.,32.1,32,0.2
Illinois,33.3,33.2,0.1
Auburn,36.6,36.5,0.1
Canisius,37.7,37.7,0
Baylor,34.8,34.8,0
UAB,34.3,34.3,0
N.C. A&T,37.6,37.7,-0.1
Niagara,39.2,39.4,-0.1
Drake,32.5,32.8,-0.2
Northern Ill.,35.3,35.6,-0.3
TCU,31,31.3,-0.3
Purdue,34.3,34.6,-0.3
La.-Monroe,34.1,34.4,-0.3
Georgetown,33.1,33.4,-0.3
Eastern Wash.,32.1,32.5,-0.4
Bradley,32.6,33,-0.4
Idaho St.,31.8,32.1,-0.4
Sacred Heart,33.5,33.9,-0.4
Missouri St.,32.5,32.9,-0.4
Detroit,31,31.5,-0.4
Indiana,30.7,31.2,-0.5
Siena,36,36.5,-0.5
Iowa,29,29.5,-0.5
Tex.-Pan American,31.7,32.2,-0.5
Colorado St.,33,33.5,-0.5
Belmont,35.7,36.2,-0.5
Central Mich.,31.6,32.2,-0.5
Brown,32.6,33.2,-0.5
VCU,34,34.5,-0.6
Austin Peay,34.1,34.7,-0.6
Nicholls St.,28.9,29.5,-0.6
Stetson,37.5,38.1,-0.6
Tennessee Tech,36.8,37.5,-0.6
Stanford,31.9,32.6,-0.6
Saint Francis (PA),31,31.7,-0.7
Tennessee St.,35.5,36.1,-0.7
Boise St.,34.3,35,-0.7
South Fla.,35.4,36.2,-0.7
Mississippi St.,38.5,39.3,-0.7
Long Beach St.,33.6,34.4,-0.8
Central Conn. St.,32.3,33.1,-0.8
Rider,36,36.8,-0.8
Montana,31.5,32.3,-0.8
Kent St.,35.5,36.3,-0.8
Akron,33.5,34.4,-0.9
Columbia,34.1,35,-0.9
Western Mich.,34.2,35.1,-0.9
Ohio St.,30.8,31.8,-0.9
Hampton,35.2,36.1,-1
Wagner,33.3,34.3,-1
Fairfield,34.5,35.6,-1.1
Oklahoma St.,35.5,36.6,-1.1
Georgia St.,32.8,33.9,-1.2
Southern Ill.,32,33.2,-1.2
Boston U.,34.6,35.9,-1.3
Loyola Maryland,34.9,36.2,-1.3
Loyola Chicago,34.2,35.5,-1.3
Green Bay,32.3,33.7,-1.3
Pepperdine,35.7,37.1,-1.4
Col. of Charleston,35.7,37.1,-1.4
Winthrop,34.4,35.8,-1.4
Tulane,33.2,34.7,-1.5
Princeton,30.4,32,-1.6
Maryland,36.7,38.3,-1.6
Houston,37.3,38.9,-1.6
Navy,37.1,38.7,-1.6
Binghamton,34.9,36.5,-1.6
Iowa St.,33.7,35.3,-1.6
Toledo,33.1,34.7,-1.7
Valparaiso,31.3,33,-1.7
UTSA,35.3,37.1,-1.7
Saint Peter's,32.9,34.6,-1.7
Norfolk St.,34.5,36.2,-1.8
Liberty,35.3,37.1,-1.8
East Carolina,33.9,35.7,-1.8
Maine,34.6,36.6,-1.9
San Francisco,32,34,-2
UMKC,32.5,34.5,-2
Troy,35.7,37.8,-2.1
New Orleans,31.7,33.9,-2.1
Texas Tech,35.9,38.1,-2.2
Ohio,30.9,33.1,-2.2
Bucknell,37.5,39.7,-2.2
UNC Greensboro,35.5,37.8,-2.3
Fla. Atlantic,33.4,35.7,-2.3
Duquesne,33.5,35.8,-2.3
Air Force,28.4,30.7,-2.3
UC Davis,31.5,33.9,-2.4
Oregon St.,28.1,30.5,-2.4
Dartmouth,32.9,35.3,-2.5
San Diego,30.4,32.8,-2.5
La.-Lafayette,32.9,35.4,-2.5
Fresno St.,33.4,36,-2.6
Penn,33.3,35.8,-2.6
Delaware St.,30.6,33.2,-2.6
Charlotte,35.3,38.1,-2.8
UNLV,33.2,36,-2.8
South Carolina,35.9,38.8,-2.9
Indiana St.,31.8,34.8,-3
Monmouth,32.4,35.4,-3
UNC Asheville,35,38.1,-3.1
Elon,32.5,35.6,-3.1
Western Ill.,27.4,30.5,-3.1
New Mexico St.,34.6,37.7,-3.1
Michigan,30.9,34,-3.1
Wright St.,31.6,34.8,-3.2
Towson,34.9,38.1,-3.2
Mississippi Val.,33.6,36.8,-3.2
UMBC,32.7,35.8,-3.2
UC Irvine,30.2,33.4,-3.2
Harvard,29.5,32.7,-3.2
Idaho,30.4,33.6,-3.2
Delaware,34,37.4,-3.4
Creighton,32.5,35.9,-3.4
Marist,35.3,38.8,-3.5
Texas Southern,30.9,34.4,-3.5
IPFW,30.3,33.8,-3.5
Grambling,32.7,36.4,-3.7
Massachusetts,34.6,38.3,-3.7
Lafayette,32.7,36.4,-3.7
Rice,31.9,35.7,-3.8
Colgate,31.5,35.4,-3.9
Furman,30.9,34.9,-4
Cal St. Fullerton,33.6,37.8,-4.3
Eastern Ky.,29.7,34,-4.3
Richmond,31.1,35.4,-4.3
Ga. Southern,33.9,38.4,-4.4
Oregon,31.4,36,-4.6
DePaul,34.7,39.3,-4.6
Cal Poly,33.2,37.9,-4.8
Northwestern,28.4,33.2,-4.9
St. Francis Brooklyn,32.6,37.7,-5
Southeast Mo. St.,33.7,38.8,-5.2
Fairleigh Dickinson,32.1,37.4,-5.3
Army,29.2,34.9,-5.7
Denver,23.8,29.6,-5.8
Colorado,27.6,33.5,-6
Sacramento St.,28.6,34.6,-6
Alabama A&M,35.1,41.2,-6.1
Howard,31.1,37.4,-6.3
