Name,RPG,OPP RPG,REB MAR
UConn,45,34.5,10.5
Texas,40.2,30.2,10
LSU,40.4,31.3,9.1
Oklahoma,36.6,27.5,9.1
Col. of Charleston,41.9,32.8,9
North Carolina,40,31.6,8.4
Pittsburgh,39.2,31,8.2
Memphis,42.1,34.9,7.1
Washington,37.9,30.8,7.1
St. John's (NY),38.1,31.2,6.9
Milwaukee,38.6,32.1,6.6
Wake Forest,39.5,33,6.5
Hartford,38.1,31.9,6.2
Davidson,39,32.9,6.2
Louisiana Tech,40.2,34.2,6
Illinois,36,30.1,5.9
Michigan St.,36,30.2,5.8
Wichita St.,37.4,31.7,5.7
Winthrop,36.4,30.9,5.5
Kansas,39.7,34.2,5.5
Niagara,38.3,32.9,5.4
UTEP,36.4,31.2,5.2
Oral Roberts,37.2,32.1,5.2
Norfolk St.,38.2,33,5.1
Western Ky.,37.5,32.4,5.1
UCLA,32.9,28,5
Massachusetts,37.3,32.3,4.9
Drake,36,31.2,4.8
Wagner,38.5,33.7,4.8
St. Mary's (CA),37.4,32.7,4.7
Michigan,33.9,29.2,4.7
Utah,33.2,28.6,4.6
Colorado,41.1,36.6,4.5
Virginia,37.3,32.8,4.5
Hampton,39.2,34.8,4.5
Columbia,34.2,29.7,4.4
Charlotte,38.2,33.7,4.4
A&M-Corpus Christi,38.1,33.7,4.4
Georgia Tech,37.2,32.8,4.4
Nevada,38.5,34.1,4.4
Cal St. Fullerton,38.8,34.4,4.3
Alabama,37,32.7,4.3
Birmingham-So.,33.1,28.9,4.3
Valparaiso,37.4,33.2,4.2
Mississippi St.,38.9,34.7,4.2
Oakland,36.3,32.1,4.2
Detroit,33.9,29.8,4.1
Montana,35.7,31.6,4.1
Rhode Island,36.1,32,4.1
Wyoming,38.8,34.8,4
Portland St.,35.8,31.8,4
Kansas St.,36.4,32.4,3.9
Holy Cross,35.5,31.6,3.9
San Diego St.,35.6,31.8,3.8
Boston College,35.3,31.5,3.8
Ill.-Chicago,36.5,32.8,3.8
George Washington,38.2,34.5,3.7
Pacific,35.4,31.7,3.7
Georgetown,32.6,28.9,3.7
Gonzaga,37.6,34,3.6
Dayton,35.9,32.3,3.6
Northern Ariz.,34,30.4,3.6
UALR,34.6,31,3.6
Drexel,38.2,34.6,3.5
Nebraska,38.6,35.1,3.5
Vermont,36.8,33.4,3.4
Iowa,37.8,34.5,3.4
Oklahoma St.,33.7,30.3,3.4
Bradley,37.7,34.3,3.4
Campbell,39.2,35.9,3.4
Lipscomb,36.9,33.5,3.4
Florida,35.2,32,3.2
Murray St.,36.9,33.8,3.1
UTSA,38.8,35.8,3.1
Southern U.,38.5,35.5,3
Texas-Arlington,37,34,3
Maryland,39.3,36.2,3
Bucknell,32.3,29.3,3
Stephen F. Austin,35.3,32.3,2.9
Kentucky,35.9,33.1,2.8
Central Conn. St.,34.3,31.5,2.8
Notre Dame,38.2,35.4,2.8
Iona,37,34.3,2.8
SMU,36.5,33.8,2.7
Miami (FL),35.4,32.7,2.7
Oregon,33.6,31,2.7
Old Dominion,36.5,33.8,2.7
George Mason,34.9,32.2,2.7
South Carolina St.,34.5,31.8,2.7
Tulane,35.9,33.2,2.6
Kent St.,33.4,30.8,2.6
Xavier,35.2,32.6,2.5
Sacred Heart,34.9,32.4,2.5
Minnesota,34.8,32.3,2.5
Missouri St.,36.7,34.2,2.5
Hofstra,36.3,33.8,2.4
Albany (NY),34,31.6,2.4
Seton Hall,36.9,34.5,2.4
Tennessee Tech,36.4,34.1,2.3
Middle Tenn.,34.7,32.4,2.3
UNLV,36,33.7,2.3
Utah St.,33.7,31.4,2.3
Southern Miss.,32.4,30.1,2.3
Buffalo,33.9,31.7,2.3
Loyola Maryland,36.5,34.3,2.2
Stanford,34.3,32.2,2.1
UNC Wilmington,36.2,34.1,2.1
Wisconsin,36.6,34.5,2.1
Chattanooga,37.8,35.7,2.1
Boston U.,34.3,32.2,2.1
UCF,34.4,32.4,2.1
UC Irvine,33.5,31.5,2
Colorado St.,34.1,32.2,1.9
Harvard,35.1,33.3,1.8
Sam Houston St.,37.3,35.5,1.8
Saint Joseph's,32.2,30.4,1.8
McNeese St.,36.2,34.4,1.8
Elon,35.9,34.1,1.8
La Salle,35.8,34,1.8
Santa Clara,37.5,35.8,1.7
North Texas,38.8,37,1.7
Idaho St.,37.7,36,1.7
Loyola Chicago,34.4,32.7,1.7
Coastal Caro.,32.9,31.3,1.7
Cal Poly,34.9,33.3,1.6
Saint Louis,34.3,32.7,1.6
BYU,35.1,33.5,1.6
Yale,35.6,34,1.6
Marist,35.2,33.7,1.6
Weber St.,32.6,31.1,1.5
Northwestern St.,36,34.5,1.5
UNI,33.4,31.9,1.5
Quinnipiac,36.6,35.1,1.5
California,32.5,31,1.5
Miami (OH),31.4,29.9,1.5
Indiana,33.9,32.5,1.4
Villanova,36.2,34.8,1.4
Providence,35.6,34.3,1.4
Akron,33.5,32.3,1.3
Tulsa,35.5,34.3,1.3
American,34.7,33.5,1.2
Penn St.,33.9,32.7,1.2
Florida St.,33.4,32.2,1.2
Lehigh,34.8,33.7,1.1
UNC Asheville,36.5,35.4,1.1
Robert Morris,36.1,35,1.1
Clemson,37,35.9,1.1
Marshall,36.6,35.5,1
Ball St.,33.1,32,1
Belmont,35.7,34.7,1
Southern Ill.,32.7,31.7,1
Florida A&M,35.2,34.2,1
New Mexico St.,34.3,33.3,1
Wright St.,32.1,31.1,1
Ohio,32.9,31.9,1
East Tenn. St.,38.8,37.8,1
Purdue,32.7,31.7,1
James Madison,35.5,34.5,0.9
Western Mich.,34.7,33.8,0.9
South Fla.,33.8,32.9,0.9
Grambling,37.7,36.9,0.8
Syracuse,38.3,37.6,0.8
Furman,33.7,33,0.7
Northern Ill.,32.4,31.7,0.7
Navy,35.6,34.9,0.7
Tennessee St.,33.4,32.7,0.7
William & Mary,33.8,33.2,0.6
Fla. Atlantic,32.1,31.4,0.6
Green Bay,33.7,33.1,0.6
South Carolina,32.2,31.6,0.6
South Ala.,33.9,33.3,0.6
Ole Miss,33.8,33.2,0.6
San Diego,35.1,34.6,0.5
VMI,37.4,37,0.4
Louisville,35.9,35.5,0.4
Gardner-Webb,34.3,34,0.3
Eastern Wash.,33,32.7,0.3
Southeast Mo. St.,35.6,35.3,0.3
Denver,35,34.8,0.2
Mississippi Val.,32.9,32.7,0.2
Youngstown St.,34,33.9,0.1
Arkansas,35,34.9,0.1
Arizona St.,33.1,33,0.1
Marquette,36.1,36.1,0
La.-Lafayette,36.4,36.4,0
East Carolina,34.8,34.9,0
Alabama St.,35.4,35.4,-0.1
St. Bonaventure,36.4,36.5,-0.1
Eastern Mich.,31.6,31.8,-0.1
Hawaii,34.5,34.7,-0.2
Loyola Marymount,37.3,37.5,-0.2
Ohio St.,34,34.3,-0.2
Rutgers,34.5,34.8,-0.3
Colgate,32.4,32.7,-0.3
Western Caro.,32.7,33,-0.4
Western Ill.,34.8,35.2,-0.4
Creighton,34.4,34.8,-0.4
UC Santa Barbara,33.3,33.8,-0.4
San Jose St.,35.6,36.2,-0.5
Arkansas St.,34.8,35.4,-0.5
San Francisco,35.3,35.9,-0.6
Arizona,34.5,35.1,-0.6
Brown,32.1,32.7,-0.6
Southeastern La.,34,34.7,-0.6
Cal St. Northridge,33.1,33.7,-0.6
IUPUI,31.9,32.6,-0.7
Saint Peter's,37.7,38.5,-0.8
Missouri,33.7,34.6,-0.9
Texas A&M,31.7,32.6,-0.9
Montana St.,34.2,35.3,-1.1
Boise St.,35.8,36.9,-1.1
UT Martin,34.3,35.4,-1.1
Penn,32.1,33.3,-1.2
Vanderbilt,31.4,32.7,-1.2
Auburn,33,34.3,-1.3
Eastern Ill.,31.8,33.2,-1.4
Cincinnati,37.1,38.5,-1.4
Mercer,36.7,38.1,-1.4
Alcorn,35.4,36.8,-1.4
Fordham,33.8,35.3,-1.5
St. Francis Brooklyn,34.5,36,-1.5
Austin Peay,32.8,34.4,-1.5
Ga. Southern,35.6,37.1,-1.6
UMBC,32.9,34.5,-1.6
DePaul,33.3,34.9,-1.6
Illinois St.,32.2,33.8,-1.6
Northeastern,37,38.6,-1.6
Towson,35.3,36.9,-1.6
Jacksonville St.,32.8,34.4,-1.6
Fairleigh Dickinson,36.8,38.5,-1.7
FIU,35.7,37.4,-1.7
VCU,31.9,33.7,-1.8
High Point,35,36.9,-1.9
Charleston So.,34.5,36.3,-1.9
Delaware,35.6,37.5,-1.9
Georgia,34.8,36.8,-2
Citadel,35,37,-2
Cornell,32.2,34.2,-2
Texas Southern,37.8,39.8,-2.1
Lamar,38.8,40.9,-2.1
Appalachian St.,34.4,36.5,-2.1
