Name,Turnover Margin
Sacred Heart,-1.9
La.-Monroe,-1.9
Mississippi Val.,-1.9
SMU,-2
New Orleans,-2
Milwaukee,-2.1
Belmont,-2.1
Samford,-2.1
Liberty,-2.1
Idaho St.,-2.1
Lamar,-2.1
Marist,-2.2
Colgate,-2.2
Northern Ariz.,-2.3
Mercer,-2.3
Gardner-Webb,-2.3
Saint Francis (PA),-2.3
San Francisco,-2.3
Miami (OH),-2.3
Pepperdine,-2.3
Utah,-2.3
James Madison,-2.4
Rutgers,-2.4
UConn,-2.4
Loyola Chicago,-2.4
Wagner,-2.5
UNC Asheville,-2.5
Radford,-2.5
Penn,-2.5
San Jose St.,-2.5
Howard,-2.6
Ball St.,-2.7
Tulsa,-2.7
Binghamton,-2.7
Iowa,-2.8
Ark.-Pine Bluff,-2.8
Brown,-2.9
A&M-Corpus Christi,-3.1
Norfolk St.,-3.1
UMES,-3.1
Georgia,-3.3
Hawaii,-3.3
Fairleigh Dickinson,-3.3
Fordham,-3.3
UNC Wilmington,-3.4
Holy Cross,-3.5
Albany (NY),-3.9
La Salle,-4
Toledo,-4.3
Appalachian St.,-4.3
Alcorn,-5
East Carolina,-5.1
American,-5.2
Southern Utah,-6.2
Gardner-Webb,
Southern Utah,
Alcorn,
