Name,RPG,OPP RPG,REB MAR
Connecticut,46.1,34.7,11.4
Chattanooga,41.6,30.4,11.3
Utah,34.1,23.3,10.7
Pittsburgh,38.3,29.3,9
Mississippi St.,41,32.1,8.8
Michigan St.,36,27.9,8.1
Gonzaga,38.2,30.2,8
Nevada,39.6,31.8,7.8
North Carolina,40.3,32.6,7.7
Niagara,40.9,33.3,7.6
Wake Forest,39.7,32.6,7.1
Utah St.,34.3,27.4,6.9
Wichita St.,36.4,29.7,6.7
Florida,37.3,30.9,6.5
Miami (OH),36.1,29.6,6.4
Pacific,35.8,29.4,6.3
UCF,35.8,29.6,6.2
Davidson,37.9,31.8,6.1
Marquette,36.9,30.9,6
Missouri St.,37.2,31.3,6
Detroit,35,29.1,6
Western Mich.,39.2,33.3,5.9
Louisville,39.3,33.5,5.9
A&M-Corpus Christi,36.5,30.7,5.8
Vermont,37.9,32.2,5.7
South Carolina St.,36.5,30.8,5.7
Texas,39.6,34.1,5.5
Middle Tenn.,37.7,32.3,5.5
FIU,38.2,32.8,5.4
Nebraska,38.3,33,5.3
Northwestern St.,38.2,33,5.3
Oklahoma St.,34.5,29.3,5.2
Alabama,36.9,31.8,5.2
Navy,41.1,36,5.1
Wagner,36.6,31.5,5.1
Tennessee Tech,36.6,31.6,5.1
DePaul,36.6,31.5,5.1
Cincinnati,41.4,36.4,5
Penn,37.5,32.5,5
Texas A&M,36,31.1,4.9
UTSA,41.8,37,4.8
Wyoming,38.6,33.9,4.8
Oral Roberts,36.6,31.8,4.7
Boston College,37.8,33.2,4.6
Washington,37.7,33.1,4.6
Lipscomb,38.3,33.8,4.5
Weber St.,34.7,30.2,4.5
Miami (FL),39.7,35.3,4.5
LSU,36.4,32,4.4
Rhode Island,37.1,32.7,4.4
UCLA,37.2,32.9,4.3
Stephen F. Austin,33.7,29.4,4.3
Holy Cross,34.5,30.2,4.3
Villanova,36.9,32.8,4.1
Oklahoma,35.2,31.1,4.1
Arizona,37,33,4
Syracuse,38,34,4
St. Mary's (CA),36.7,32.8,4
Texas Southern,40.7,36.8,3.9
Wisconsin,35.1,31.2,3.9
Wright St.,32.7,28.9,3.8
Cal St. Fullerton,37.1,33.3,3.8
East Carolina,39.9,36.3,3.6
Montana,36.2,32.6,3.6
Illinois,34.4,30.8,3.6
George Washington,36.7,33.2,3.5
Murray St.,34.2,30.7,3.5
Drake,36,32.6,3.4
Kansas,37.8,34.4,3.4
Winthrop,34.9,31.6,3.4
Sam Houston St.,39.4,36.3,3.1
Maryland,42.5,39.5,3.1
La.-Lafayette,35.2,32.2,3
Seton Hall,36.7,33.8,3
Xavier,33.5,30.6,2.9
Norfolk St.,37.3,34.4,2.9
Birmingham-So.,33.2,30.3,2.9
Eastern Ky.,35.6,32.7,2.9
St. Joseph's,34.5,31.6,2.9
Georgia Tech,39.5,36.6,2.8
Louisiana Tech,38.6,35.8,2.8
Memphis,38.3,35.6,2.7
Arizona St.,36.6,34,2.6
Minnesota,33.9,31.2,2.6
Oregon,34.4,31.8,2.6
New Mexico,34.1,31.6,2.5
Bradley,37.4,34.9,2.5
Hampton,36.1,33.6,2.5
Columbia,34.2,31.8,2.4
Gardner-Webb,38,35.7,2.4
American,35.3,32.9,2.4
Buffalo,37.5,35.1,2.4
Valparaiso,34.7,32.5,2.3
Maine,36.4,34.2,2.3
Penn St.,35.1,32.9,2.2
Arkansas St.,38,35.9,2.2
Central Conn. St.,33.1,31,2.1
Ill.-Chicago,36,33.9,2.1
Kansas St.,35,33,2
Old Dominion,36.6,34.6,2
UTEP,34.6,32.5,2
Clemson,37.2,35.2,2
San Diego,34.6,32.6,2
High Point,39.5,37.5,1.9
Campbell,36.4,34.5,1.9
Colorado St.,35.4,33.5,1.9
Harvard,35.9,34,1.9
St. John's (NY),35.8,33.9,1.9
Milwaukee,36.8,34.9,1.8
Duke,38.4,36.7,1.7
Ball St.,34.7,33,1.7
Kentucky,35.6,33.9,1.7
Dayton,33.7,32,1.6
Rice,36.6,35,1.6
Southern U.,37.7,36.1,1.6
Hofstra,36.7,35.1,1.6
Alabama St.,33.7,32.1,1.5
Fresno St.,38.6,37.2,1.5
Portland St.,33.7,32.3,1.5
North Texas,38.9,37.5,1.4
Charlotte,38.7,37.3,1.4
Eastern Ill.,35.2,33.9,1.4
UC Irvine,34.2,32.9,1.2
Iowa,36,34.9,1.1
UNC Wilmington,34.6,33.5,1.1
Fla. Atlantic,39.1,38,1.1
SMU,34.6,33.6,1
UNI,33.4,32.5,1
Santa Clara,37.2,36.3,0.9
McNeese St.,35.6,34.7,0.9
Missouri,34.7,33.8,0.9
Arkansas,34.1,33.2,0.9
Fairleigh Dickinson,36.2,35.3,0.8
Stanford,36.1,35.2,0.8
William & Mary,35.1,34.3,0.8
Binghamton,34.8,34,0.8
Northern Ariz.,34.8,34,0.8
Albany (NY),33.7,32.9,0.8
Southern Ill.,32.8,32.1,0.7
Texas-Arlington,34.5,33.8,0.7
Stetson,34.8,34.1,0.7
Kent St.,33.2,32.5,0.7
Boston U.,35.4,34.8,0.7
La.-Monroe,34.1,33.5,0.7
Western Ky.,35.1,34.4,0.7
Citadel,37.8,37.1,0.6
Southern Miss.,33.5,32.9,0.6
Bucknell,31.8,31.2,0.6
Southeastern La.,31.2,30.6,0.6
Tulane,37.1,36.6,0.5
Western Ill.,32.5,32,0.5
UNLV,36.7,36.2,0.5
Vanderbilt,33.4,33,0.5
Mercer,38.9,38.4,0.4
Loyola (MD),36.6,36.2,0.4
Southern California,35.4,35,0.4
Bowling Green,31.1,30.7,0.4
Purdue,32.9,32.6,0.3
Temple,36.1,35.9,0.2
Florida A&M,36.4,36.2,0.1
Iona,36.4,36.3,0.1
Long Beach St.,33.6,33.5,0.1
California,34.9,34.8,0.1
Tennessee St.,35.9,35.9,0.1
Delaware,35.5,35.5,0.1
Sacred Heart,34.4,34.5,-0.1
Ga. Southern,39.9,40,-0.1
South Fla.,34.1,34.3,-0.2
Illinois St.,32.6,32.7,-0.2
