Name,RPG,OPP RPG,REB MAR
Quinnipiac,45.5,33.6,11.8
Kentucky,41.3,31.5,9.8
Tennessee,39.2,30.4,8.8
Arizona,38.9,30.4,8.5
UAB,44.5,36.4,8.1
Morehead St.,38.5,30.3,8.1
Wichita St.,38.6,30.8,7.8
Indiana,38.8,31.2,7.6
Texas,41.8,34.3,7.5
Baylor,38.8,31.3,7.5
Iowa,40.7,33.3,7.4
Kansas,38.2,30.8,7.4
Colorado,37.9,31,6.9
Southern Miss.,35.8,29.1,6.7
Virginia,35.9,29.3,6.5
Liberty,37.1,30.6,6.4
Pittsburgh,36.1,29.7,6.4
Stony Brook,36.8,30.9,5.9
Utah St.,36.4,30.6,5.8
Missouri,37.5,31.9,5.6
Col. of Charleston,37.9,32.4,5.5
Towson,38.9,33.4,5.5
New Mexico,38.2,32.8,5.4
San Diego St.,38.2,32.8,5.4
BYU,41.2,35.8,5.4
North Carolina,39.9,34.6,5.3
Florida,36,30.7,5.3
Mercer,38,32.8,5.2
Seattle,38.4,33.1,5.2
South Dakota St.,35.2,29.9,5.2
Vermont,34.8,29.6,5.2
Georgia,37.5,32.6,5
Stephen F. Austin,33.8,28.9,4.9
Coastal Caro.,39.6,34.8,4.9
New Mexico St.,37.5,32.7,4.8
Colorado St.,37.6,32.8,4.8
SMU,36.3,31.6,4.7
North Dakota St.,32.8,28.1,4.6
Middle Tenn.,36.6,32,4.6
Michigan St.,37.1,32.5,4.6
Yale,35.2,30.6,4.6
Cincinnati,36.3,31.8,4.5
Boise St.,34.5,29.9,4.5
Xavier,36,31.6,4.4
Hawaii,35.9,31.5,4.4
St. Mary's (CA),34.3,29.9,4.4
Dayton,35.3,31,4.3
Valparaiso,36.1,31.8,4.3
Northern Ill.,37.5,33.2,4.3
USC Upstate,38.2,33.9,4.3
George Washington,37.6,33.5,4.1
UC Irvine,38.6,34.6,4
Southeast Mo. St.,37.2,33.2,4
Villanova,37.1,33.3,3.8
Southern U.,38.8,35,3.8
LSU,39.9,36.1,3.8
Bucknell,35.6,31.8,3.8
Providence,37,33.2,3.8
IPFW,33.9,30.1,3.8
Western Ky.,36.9,33.2,3.7
Ball St.,36.9,33.2,3.7
UNLV,40.2,36.5,3.7
Utah,35.4,31.7,3.7
Syracuse,35.2,31.6,3.6
Weber St.,34.6,31,3.6
Purdue,39.3,35.7,3.5
Green Bay,37,33.6,3.4
N.C. Central,35.6,32.2,3.4
St. Bonaventure,35.5,32.2,3.4
Charlotte,38.3,35,3.3
Maryland,37.5,34.2,3.3
Norfolk St.,35.4,32.1,3.3
Massachusetts,38.7,35.4,3.3
Texas Southern,37.2,33.9,3.3
Louisiana Tech,39.6,36.3,3.3
Albany (NY),34.6,31.4,3.2
