Name,RPG,OPP RPG,REB MAR
Colorado St.,40.4,28.4,12.1
Quinnipiac,42.1,31.8,10.4
Missouri,41.4,31.8,9.6
Utah St.,37.5,28.4,9.1
Maryland,40.8,31.9,8.9
St. Mary's (CA),37.1,28.4,8.7
Wichita St.,38.4,30,8.4
Minnesota,38.8,30.6,8.2
Indiana,38.6,30.9,7.7
Butler,36.6,29,7.7
Gonzaga,37.3,29.9,7.4
Stephen F. Austin,36.1,28.9,7.3
Pittsburgh,35.3,28.3,7.1
Michigan St.,37.3,30.5,6.7
Kansas,39.1,32.5,6.6
UNLV,40.1,33.5,6.6
Towson,39.8,33.2,6.6
Weber St.,36.1,29.6,6.5
Cincinnati,40,33.5,6.5
New Mexico St.,37.6,31.1,6.4
Southern Miss.,35.6,29.5,6.1
Oregon,37.4,31.3,6.1
Middle Tenn.,36.8,30.8,6
Akron,38,32,6
Arizona,36.3,30.3,6
Morehead St.,37.1,31.1,5.9
Western Mich.,36.9,31,5.9
Bucknell,36.2,30.3,5.8
Hawaii,38.7,33,5.7
Col. of Charleston,37.6,31.9,5.7
Coastal Caro.,37.3,31.7,5.7
Stony Brook,38,32.4,5.6
Seattle,40,34.7,5.3
Tennessee,36.8,31.6,5.3
Purdue,39.3,34.1,5.3
George Washington,37.6,32.4,5.2
North Dakota St.,34.2,29,5.2
Memphis,37.8,32.9,4.9
Creighton,35.2,30.3,4.9
Xavier,35.2,30.4,4.8
Idaho,34.3,29.5,4.8
Florida,35.1,30.3,4.8
Green Bay,35,30.2,4.8
Iowa St.,38.7,34,4.7
Iowa,39.4,34.8,4.6
Chattanooga,37.9,33.4,4.5
Tulane,35.4,30.9,4.5
Vermont,34.3,29.9,4.4
Valparaiso,32.9,28.5,4.4
Washington,36.5,32.1,4.4
Marquette,35,30.6,4.4
Charlotte,37.6,33.3,4.3
Oral Roberts,35.7,31.4,4.3
Kentucky,38.3,34,4.3
Boise St.,33.9,29.7,4.2
South Dakota St.,34.7,30.6,4.1
Syracuse,38.7,34.6,4.1
Notre Dame,36.2,32.1,4.1
Charleston So.,39.4,35.4,4
Prairie View,40.4,36.4,3.9
Yale,34.6,30.7,3.9
Ball St.,35.6,31.7,3.9
USC Upstate,36.5,32.6,3.9
Texas-Arlington,38.1,34.2,3.9
Dayton,34.3,30.4,3.8
Wisconsin,36.7,32.9,3.7
Buffalo,35.5,31.8,3.7
Ohio St.,35.5,31.8,3.7
Wagner,37.2,33.6,3.6
Louisville,37.5,33.9,3.6
Drexel,34,30.5,3.5
San Diego St.,36.8,33.4,3.5
Colorado,37.2,33.8,3.4
Sam Houston St.,37.4,34.1,3.4
BYU,38.3,35,3.3
NJIT,39.2,35.9,3.3
Miami (FL),35.8,32.5,3.2
Houston,38.4,35.2,3.2
Kansas St.,35.3,32.1,3.2
Western Ky.,36.2,33,3.2
California,37.2,34,3.2
Gardner-Webb,35.4,32.2,3.2
Lipscomb,38.2,35.1,3.1
Villanova,36.3,33.2,3
Army,36.5,33.5,3
UC Riverside,35.2,32.2,3
Albany (NY),33.6,30.6,3
Southern Utah,37.6,34.6,3
North Carolina St.,36.8,33.9,2.9
Michigan,35.1,32.2,2.9
IPFW,33.9,31,2.9
South Carolina,35.6,32.7,2.9
Old Dominion,36.9,34,2.9
Cal St. Northridge,36.9,34,2.8
Tennessee St.,36.1,33.3,2.8
Providence,37.9,35.1,2.8
Georgia Tech,37.3,34.5,2.8
High Point,37.2,34.4,2.8
Loyola Chicago,33.2,30.5,2.7
Portland,35.1,32.5,2.7
South Ala.,37.7,35,2.7
SMU,33.8,31.2,2.6
Brown,35.8,33.2,2.6
Baylor,37.7,35.1,2.5
Georgia,35.4,32.9,2.4
North Carolina,38.9,36.5,2.4
Davidson,33.8,31.4,2.4
UCF,36.6,34.2,2.4
UC Irvine,38.8,36.5,2.3
Princeton,31,28.7,2.3
Fordham,37.6,35.4,2.2
N.C. Central,32.7,30.5,2.2
