Name,TOPG
Temple,9.1
Air Force,9.8
Butler,10.1
Illinois,11.1
IUPUI,11.2
Rutgers,11.4
West Virginia,11.4
Wisconsin,11.5
Notre Dame,11.5
Ohio St.,11.7
UNC Wilmington,11.7
UNI,11.8
Vermont,11.8
Creighton,12
Boston U.,12
Drexel,12
Rider,12.1
Oakland,12.1
Old Dominion,12.2
Ball St.,12.2
Manhattan,12.2
UTEP,12.2
DePaul,12.3
North Carolina St.,12.3
Samford,12.3
George Mason,12.4
Utah St.,12.4
Kansas St.,12.4
UC Santa Barbara,12.5
Houston,12.6
Alabama,12.6
Villanova,12.6
New Orleans,12.7
Murray St.,12.8
Niagara,12.8
VCU,12.8
Ill.-Chicago,12.8
Hawaii,12.8
Troy,12.8
Indiana,12.9
Idaho,12.9
Texas Tech,12.9
Boston College,12.9
Iowa St.,12.9
UMKC,13
Indiana St.,13
Southern Ill.,13
Detroit,13
Ohio,13
Northwestern,13
Kentucky,13
Georgia St.,13
Denver,13.1
Fairfield,13.1
Southeast Mo. St.,13.1
Dayton,13.1
South Carolina,13.1
St. Louis,13.2
Northeastern,13.2
UMBC,13.2
Charlotte,13.2
Miami (FL),13.2
Green Bay,13.2
Robert Morris,13.2
LSU,13.2
Western Ky.,13.3
San Jose St.,13.3
Birmingham-So.,13.3
Syracuse,13.4
Kent St.,13.4
Akron,13.4
Cal St. Fullerton,13.4
San Francisco,13.4
UAB,13.4
Princeton,13.4
St. Peter's,13.4
Cincinnati,13.5
Southern Miss.,13.5
Western Mich.,13.5
Canisius,13.5
UC Irvine,13.5
Marist,13.5
Col. of Charleston,13.5
Gonzaga,13.6
La Salle,13.6
Binghamton,13.6
Weber St.,13.6
Duke,13.6
Virginia Tech,13.6
Santa Clara,13.6
Holy Cross,13.6
Florida,13.6
Radford,13.6
New Mexico,13.7
Wright St.,13.7
Chicago St.,13.7
Loyola Marymount,13.7
Virginia,13.7
Southern Utah,13.7
Monmouth,13.7
Xavier,13.7
Lehigh,13.8
Miami (OH),13.8
Milwaukee,13.8
Oklahoma St.,13.8
Oklahoma,13.8
Southeastern La.,13.8
Michigan St.,13.9
Washington St.,13.9
Richmond,13.9
Wichita St.,13.9
Stony Brook,13.9
Duquesne,13.9
Georgetown,13.9
Pacific,13.9
Colorado,13.9
Tennessee,13.9
Seton Hall,14
Fairleigh Dickinson,14
Coastal Caro.,14
Delaware St.,14.1
Mississippi,14.1
St. Joseph's,14.1
Toledo,14.1
Winthrop,14.1
Oral Roberts,14.1
Stanford,14.1
San Diego St.,14.1
Mississippi Val.,14.1
Dartmouth,14.1
Illinois St.,14.1
Hofstra,14.1
Northern Ill.,14.1
Evansville,14.1
SMU,14.1
Utah,14.2
Wofford,14.2
Rhode Island,14.2
Texas A&M,14.2
Pepperdine,14.2
Nebraska,14.2
Arkansas,14.2
St. Francis (PA),14.3
Texas,14.3
Austin Peay,14.3
Brown,14.3
Middle Tenn.,14.3
Wagner,14.3
Cornell,14.4
Rice,14.4
Yale,14.4
Eastern Ky.,14.5
Belmont,14.5
Kansas,14.5
Auburn,14.5
Vanderbilt,14.5
Central Conn. St.,14.5
Portland,14.5
Iowa,14.5
Washington,14.5
Marquette,14.5
Louisville,14.5
Wake Forest,14.5
UNLV,14.6
Towson,14.6
TCU,14.6
Purdue,14.6
Missouri,14.6
Marshall,14.6
Pittsburgh,14.6
Hartford,14.6
BYU,14.6
Arizona St.,14.7
Arkansas St.,14.7
Furman,14.7
Oregon St.,14.7
Colgate,14.8
Nevada,14.8
Mt. St. Mary's,14.8
Albany (NY),14.8
Jacksonville St.,14.8
Coppin St.,14.8
Davidson,14.8
Arizona,14.8
California,14.9
Appalachian St.,14.9
Boise St.,14.9
Texas St.,14.9
