Name,TOPG
Purdue,8.7
Wisconsin,9
Northwestern,10
Notre Dame,10
Missouri,10.3
Delaware St.,10.3
Georgia,10.4
Syracuse,10.5
Missouri St.,10.6
South Dakota St.,10.6
Cincinnati,10.6
Cal Poly,10.6
Weber St.,10.6
Southern California,10.7
Fresno St.,10.7
UNI,10.8
Eastern Ky.,10.8
Florida,10.9
Michigan,10.9
San Jose St.,11
Southern Miss.,11.1
American,11.1
Youngstown St.,11.2
Saint Louis,11.2
Lehigh,11.4
Western Ill.,11.4
Kentucky,11.4
Virginia,11.4
VCU,11.4
Richmond,11.5
Drexel,11.6
Wofford,11.6
Santa Clara,11.6
St. Mary's (CA),11.6
Miami (FL),11.7
Georgia St.,11.8
Davidson,11.8
Bucknell,11.8
North Carolina,11.8
Eastern Wash.,11.8
Wyoming,11.8
Ohio St.,11.8
IUPUI,11.8
Virginia Tech,11.8
UC Santa Barbara,11.9
Illinois St.,11.9
UCLA,12
Oklahoma St.,12
Lamar,12
Utah St.,12
Mississippi St.,12
Pacific,12
Liberty,12.1
Duquesne,12.1
California,12.1
Denver,12.1
Clemson,12.1
Vermont,12.1
Columbia,12.2
McNeese St.,12.2
Duke,12.2
Penn St.,12.2
Boise St.,12.2
Fla. Atlantic,12.2
Indiana St.,12.2
Wichita St.,12.2
Providence,12.2
Harvard,12.2
Creighton,12.3
Winthrop,12.3
Central Mich.,12.3
UConn,12.3
Brown,12.3
Oakland,12.3
Stony Brook,12.3
Belmont,12.4
Princeton,12.4
North Dakota St.,12.4
Troy,12.4
High Point,12.5
Arizona,12.5
Detroit,12.5
UALR,12.5
Iowa St.,12.5
Montana,12.5
Iowa,12.5
Temple,12.5
Iona,12.5
Penn,12.6
Texas,12.6
NJIT,12.6
SMU,12.6
Lafayette,12.6
Albany (NY),12.6
Evansville,12.6
Quinnipiac,12.6
San Diego St.,12.6
Seton Hall,12.6
UCF,12.6
Saint Joseph's,12.6
Utah Valley,12.7
Georgetown,12.7
Wake Forest,12.7
Tulane,12.7
Xavier,12.7
Indiana,12.7
Memphis,12.7
Colorado St.,12.8
Niagara,12.8
South Carolina,12.8
Oklahoma,12.8
West Virginia,12.8
Air Force,12.8
North Carolina St.,12.8
Oral Roberts,12.8
William & Mary,12.8
Samford,12.9
Delaware,12.9
Coppin St.,12.9
Ball St.,12.9
Alabama,12.9
James Madison,12.9
Drake,12.9
Long Beach St.,12.9
Arkansas,13
LSU,13
Louisiana Tech,13
San Francisco,13
Colorado,13
Michigan St.,13
La Salle,13
Dayton,13
La.-Monroe,13
Southeast Mo. St.,13.1
New Hampshire,13.1
Marshall,13.1
Maine,13.1
Eastern Ill.,13.1
Western Caro.,13.1
Washington,13.2
Oregon,13.2
George Washington,13.2
Butler,13.2
Idaho,13.2
St. John's (NY),13.2
Longwood,13.2
Gonzaga,13.3
Vanderbilt,13.3
Col. of Charleston,13.3
UC Riverside,13.3
Ohio,13.3
Pittsburgh,13.3
Nebraska,13.3
Kansas,13.3
VMI,13.3
Maryland,13.3
Bowling Green,13.3
UMKC,13.3
Wagner,13.3
Loyola Marymount,13.3
UNLV,13.3
Marquette,13.3
New Mexico,13.4
DePaul,13.4
UNC Asheville,13.4
Charleston So.,13.4
Loyola Maryland,13.4
Jacksonville St.,13.4
Texas A&M,13.4
Illinois,13.4
Bethune-Cookman,13.5
Cornell,13.5
Portland St.,13.5
UTEP,13.5
BYU,13.5
East Tenn. St.,13.5
Arkansas St.,13.5
Washington St.,13.5
Miami (OH),13.5
Auburn,13.5
Boston U.,13.6
Rice,13.6
Pepperdine,13.6
South Fla.,13.6
Old Dominion,13.6
Wright St.,13.6
Toledo,13.6
Holy Cross,13.7
Montana St.,13.7
Stephen F. Austin,13.7
San Diego,13.7
Sacramento St.,13.7
Robert Morris,13.7
Bradley,13.7
Eastern Mich.,13.7
Nevada,13.7
Cal St. Northridge,13.7
Middle Tenn.,13.7
Milwaukee,13.7
East Carolina,13.7
Fordham,13.8
Stanford,13.8
UNC Wilmington,13.8
Coastal Caro.,13.8
Murray St.,13.8
TCU,13.8
Hofstra,13.8
Tennessee,13.8
Baylor,13.8
Kennesaw St.,13.8
Elon,13.8
UTSA,13.8
Chattanooga,13.8
Cleveland St.,13.9
Furman,13.9
Radford,13.9
Dartmouth,13.9
Southern Utah,13.9
Gardner-Webb,14
Villanova,14
Oregon St.,14
Kent St.,14
Monmouth,14
Utah,14
Southern U.,14
Charlotte,14
Idaho St.,14
Siena,14.1
Southern Ill.,14.1
Akron,14.1
Green Bay,14.1
Yale,14.1
Hampton,14.2
UAB,14.2
Minnesota,14.2
Campbell,14.2
St. Bonaventure,14.2
Valparaiso,14.2
Ole Miss,14.3
Appalachian St.,14.3
Kansas St.,14.4
Loyola Chicago,14.4
Georgia Tech,14.5
IPFW,14.5
Houston,14.5
North Texas,14.5
Louisville,14.5
Rhode Island,14.5
Western Mich.,14.6
Mississippi Val.,14.6
Austin Peay,14.6
Navy,14.6
FIU,14.6
Central Conn. St.,14.6
Colgate,14.6
Ill.-Chicago,14.6
UMBC,14.6
Boston College,14.6
Citadel,14.7
Northwestern St.,14.7
Canisius,14.7
Bakersfield,14.7
Savannah St.,14.8
Fairfield,14.8
Texas St.,14.8
Tulsa,14.8
New Mexico St.,14.8
Northern Ariz.,14.8
Rutgers,14.8
Ark.-Pine Bluff,14.9
Massachusetts,14.9
Binghamton,14.9
FGCU,14.9
Buffalo,14.9
Morehead St.,14.9
Jacksonville,15
Tennessee St.,15
Marist,15
USC Upstate,15.1
Lipscomb,15.1
Rider,15.1
Nicholls St.,15.1
Mercer,15.1
Tennessee Tech,15.1
Ga. Southern,15.1
Alabama St.,15.2
Fairleigh Dickinson,15.2
Alcorn,15.2
UNC Greensboro,15.2
A&M-Corpus Christi,15.2
N.C. Central,15.2
Hawaii,15.2
George Mason,15.2
Western Ky.,15.3
UC Irvine,15.3
Norfolk St.,15.3
Jackson St.,15.3
Cal St. Fullerton,15.3
Sacred Heart,15.3
Central Ark.,15.3
Tex.-Pan American,15.4
