Name,RPG,OPP RPG,REB MAR
Connecticut,44.8,35.3,9.5
Gonzaga,39.5,31.1,8.4
Utah,34.8,27.2,7.6
Mississippi St.,40.9,33.4,7.5
Western Ky.,38.8,31.6,7.2
Dayton,38,30.9,7.1
Louisiana Tech,39.3,32.3,7
Rhode Island,40.5,33.5,6.9
Texas,41.4,34.5,6.9
A&M-Corpus Christi,37.3,30.4,6.9
Utah St.,33,26.3,6.8
Stanford,36.3,29.8,6.5
Wagner,41,34.8,6.2
Nevada,38.9,32.7,6.2
Siena,40.9,34.8,6.1
Western Mich.,38,32.1,6
Fresno St.,35.4,29.5,5.9
Cal St. Fullerton,38.1,32.2,5.9
Wichita St.,37.6,31.8,5.8
Birmingham-So.,35.7,29.9,5.7
Hofstra,39,33.5,5.5
BYU,33.9,28.5,5.4
Portland St.,36.4,31,5.4
Pittsburgh,36.7,31.3,5.4
Missouri St.,36.8,31.5,5.3
East Carolina,39.7,34.6,5.1
Davidson,38.4,33.3,5.1
Murray St.,37.4,32.3,5.1
St. Mary's (CA),38.2,33.3,4.9
DePaul,35.8,30.9,4.9
UALR,37,32.1,4.9
VCU,37.7,32.9,4.8
UCF,36.5,31.7,4.8
Charlotte,40.9,36.1,4.8
Texas A&M,38,33.3,4.8
Oklahoma St.,35.9,31.2,4.7
Chattanooga,35.6,30.9,4.7
Missouri,37.9,33.2,4.7
Bucknell,34.6,29.9,4.6
Auburn,37.3,32.7,4.5
Kentucky,35.9,31.4,4.5
South Carolina St.,34,29.6,4.4
Marquette,35.8,31.4,4.4
Arizona,39.6,35.2,4.3
Michigan,35.6,31.3,4.2
Niagara,39.9,35.9,4
North Carolina,39.9,35.9,4
Clemson,37.5,33.6,3.9
UC Santa Barbara,34.7,30.9,3.9
Nebraska,36.1,32.3,3.8
Kansas St.,38.1,34.3,3.8
Coastal Caro.,37.6,33.9,3.7
Cincinnati,37.3,33.6,3.7
Princeton,30.9,27.2,3.7
Memphis,38.6,35,3.6
Central Conn. St.,34.9,31.2,3.6
Ill.-Chicago,35.5,32,3.5
Kansas,39.3,35.9,3.4
LSU,36.6,33.2,3.4
Detroit,31.7,28.4,3.3
Colorado,38.6,35.4,3.2
IUPUI,37.4,34.2,3.2
Iowa,37.9,34.7,3.2
Wake Forest,37.5,34.4,3.1
Boston College,36.5,33.4,3.1
Buffalo,35.8,32.7,3.1
Tennessee,37,33.9,3.1
Seton Hall,37.2,34.2,3
Texas-Arlington,34.7,31.7,3
Wisconsin,33,29.9,3
Valparaiso,38.4,35.4,3
North Texas,40.5,37.5,3
Vermont,36.6,33.6,3
Texas Southern,37.3,34.3,3
Southern Miss.,36.3,33.4,2.9
Ohio St.,33.6,30.7,2.9
Creighton,34.5,31.7,2.8
American,34.4,31.6,2.8
George Washington,36.1,33.3,2.7
Old Dominion,38.4,35.7,2.7
Maryland,41.5,38.9,2.6
Furman,37.4,34.8,2.6
Weber St.,32.8,30.2,2.6
Alabama St.,34.4,31.8,2.6
Georgia,34.7,32.2,2.6
Illinois,35,32.5,2.5
William & Mary,36.9,34.4,2.5
Winthrop,34,31.6,2.4
Milwaukee,35.4,33,2.4
Penn St.,35,32.6,2.4
Minnesota,36.3,33.9,2.3
UC Irvine,33,30.7,2.3
Georgia St.,36.1,33.9,2.3
Lehigh,36.3,34.1,2.3
Liberty,37.5,35.2,2.3
High Point,37.7,35.5,2.2
Cornell,37.6,35.4,2.2
Wyoming,36.7,34.5,2.2
Villanova,35.9,33.8,2.2
Duke,36.3,34.1,2.1
Mississippi Val.,40.3,38.1,2.1
California,35.1,33,2.1
Northern Ill.,35.6,33.5,2.1
Rutgers,37.6,35.6,2
Xavier,35.5,33.5,2
Tennessee Tech,36.6,34.6,2
Eastern Ky.,34.3,32.3,2
Austin Peay,34.3,32.4,1.9
Boston U.,35.1,33.2,1.9
Penn,34.9,33,1.9
Coppin St.,34.5,32.6,1.8
Maine,36.3,34.5,1.8
Michigan St.,30.5,28.7,1.8
Tex.-Pan American,39.3,37.5,1.8
Eastern Mich.,35.5,33.7,1.8
Binghamton,35.2,33.5,1.7
Middle Tenn.,35,33.2,1.7
Northwestern St.,40.9,39.1,1.7
Alabama,35.3,33.6,1.7
Southeastern La.,35.4,33.7,1.7
Oral Roberts,34.9,33.3,1.6
Holy Cross,34.6,33,1.6
Fairfield,35.7,34.1,1.6
Vanderbilt,35.6,34.1,1.6
Mercer,36.8,35.3,1.5
UCLA,34.5,33,1.5
Miami (FL),35.3,33.9,1.4
Florida St.,35.8,34.4,1.4
Pacific,33.7,32.3,1.4
Boise St.,34.3,33,1.3
Santa Clara,34.4,33.1,1.3
Miami (OH),32.8,31.5,1.2
Navy,35.3,34.1,1.2
New Mexico,32.8,31.6,1.2
Florida,35.2,34,1.2
Eastern Ill.,34.8,33.7,1.1
Syracuse,38.6,37.5,1.1
Ga. Southern,39.3,38.2,1.1
Iowa St.,37.5,36.3,1.1
Manhattan,34.9,33.7,1.1
Rice,34.5,33.4,1.1
Elon,36.2,35.1,1.1
Bowling Green,34.1,33,1.1
Delaware,37.6,36.6,1
Colorado St.,35,34,1
Hartford,34.8,33.8,1
UTSA,37.6,36.7,0.9
Hampton,36.1,35.1,0.9
Arkansas St.,36.3,35.4,0.9
Stephen F. Austin,33.4,32.5,0.9
Southern Ill.,35.4,34.6,0.8
San Diego St.,35.9,35.1,0.8
New Mexico St.,35.5,34.7,0.8
San Francisco,33.5,32.7,0.7
Purdue,33.7,32.9,0.7
Marshall,36.6,35.9,0.7
Iona,38.2,37.6,0.7
Louisville,37.9,37.2,0.7
Tulane,39.6,39,0.6
Gardner-Webb,36.6,36,0.6
Stetson,36.3,35.8,0.5
IPFW,33.6,33.1,0.5
Providence,33.6,33.1,0.4
North Carolina St.,33.7,33.3,0.4
Yale,32.7,32.3,0.4
Kent St.,34.9,34.5,0.4
Texas St.,33.6,33.2,0.4
Columbia,33.1,32.7,0.4
Montana,34.4,34.1,0.3
East Tenn. St.,38.5,38.3,0.2
Wright St.,33.7,33.5,0.2
UTEP,34.7,34.6,0.2
Georgia Tech,37.5,37.3,0.2
UNI,34.7,34.5,0.1
New Hampshire,34.6,34.5,0.1
Temple,36.7,36.6,0.1
Ohio,34.6,34.5,0.1
Western Caro.,34.9,34.9,0.1
Morehead St.,33.8,33.8,0
Colgate,34,34.1,0
McNeese St.,35.9,35.9,0
Richmond,35.5,35.5,-0.1
Arizona St.,35.6,35.7,-0.1
Eastern Wash.,30.7,30.9,-0.1
Hawaii,34.4,34.6,-0.2
Northern Ariz.,36.2,36.3,-0.2
Centenary (LA),30.4,30.6,-0.2
Denver,35.6,35.7,-0.2
Idaho,32.9,33.1,-0.2
Fla. Atlantic,38,38.2,-0.2
UT Martin,36.8,37.1,-0.3
Oregon,33.3,33.6,-0.3
Washington,35.4,35.7,-0.3
St. John's (NY),36.9,37.3,-0.4
Stony Brook,32.7,33.2,-0.5
Southern California,36.4,37,-0.6
Cleveland St.,35.9,36.5,-0.6
South Carolina,36.3,37,-0.7
Loyola (IL),36.2,36.9,-0.7
Sacred Heart,36.9,37.6,-0.7
George Mason,35.7,36.4,-0.7
Nicholls St.,34.9,35.6,-0.8
Texas Tech,34,34.8,-0.8
Massachusetts,35.3,36.2,-0.8
Long Island,37.7,38.5,-0.9
Butler,29.6,30.4,-0.9
La.-Monroe,36.5,37.4,-0.9
Alcorn St.,33,33.9,-0.9
UMBC,34.4,35.3,-0.9
Virginia Tech,34.7,35.7,-1
New Orleans,37.4,38.4,-1
Canisius,37.1,38.1,-1
Jacksonville St.,34.1,35.2,-1.1
Bradley,33.8,34.9,-1.1
Indiana,35.2,36.4,-1.2
Evansville,33.8,35,-1.2
Prairie View,35.8,37,-1.3
Duquesne,34.8,36.1,-1.3
Col. of Charleston,36,37.4,-1.4
Mt. St. Mary's,35.5,36.9,-1.4
Samford,28.3,29.7,-1.4
Oregon St.,36,37.5,-1.5
St. Francis (PA),31.4,32.9,-1.5
Rider,36.4,37.9,-1.5
Alabama A&M,37,38.5,-1.5
TCU,34.9,36.5,-1.6
Illinois St.,30.6,32.1,-1.6
Southeast Mo. St.,31.9,33.4,-1.6
Pepperdine,34.2,35.8,-1.6
La.-Lafayette,34.1,35.8,-1.6
FIU,32.5,34.1,-1.7
Grambling,35.5,37.1,-1.7
Troy,37.7,39.4,-1.7
Toledo,33.7,35.4,-1.7
Jacksonville,35.2,36.9,-1.7
Drexel,34.5,36.3,-1.7
Youngstown St.,32.9,34.6,-1.7
Quinnipiac,36,37.8,-1.7
Ball St.,35.3,37,-1.7
Green Bay,32.9,34.6,-1.8
Robert Morris,31.9,33.7,-1.8
South Fla.,34.1,35.9,-1.8
Notre Dame,35.3,37.1,-1.8
Southern U.,35,36.8,-1.8
Akron,33.6,35.5,-1.9
Delaware St.,28.9,30.8,-1.9
Belmont,33.5,35.4,-1.9
Oklahoma,34.2,36.1,-1.9
UNC Wilmington,32.5,34.5,-2
Cal St. Northridge,30.1,32.1,-2
UNLV,33.4,35.4,-2
San Diego,32.4,34.4,-2
Montana St.,32.3,34.3,-2
Howard,33.9,36,-2.1
UNC Greensboro,34.8,36.9,-2.1
Harvard,34.7,36.8,-2.1
Arkansas,34.5,36.7,-2.2
St. Francis (NY),35,37.3,-2.2
Washington St.,29.1,31.3,-2.2
Sam Houston St.,36.8,39,-2.3
Baylor,31.9,34.1,-2.3
St. Louis,31.4,33.8,-2.4
Oakland,35.1,37.6,-2.5
Loyola Marymount,34.3,36.9,-2.6
Sacramento St.,36.3,38.9,-2.6
Norfolk St.,33.2,35.8,-2.7
Northeastern,36.9,39.7,-2.8
Bethune-Cookman,32,34.8,-2.8
Charleston So.,32.1,34.9,-2.9
Lafayette,34.6,37.5,-2.9
Marist,34.4,37.3,-2.9
La Salle,32.7,35.6,-2.9
San Jose St.,29.5,32.5,-3
Georgetown,33.8,36.9,-3
Drake,33.3,36.4,-3
Mississippi,30.3,33.4,-3
Monmouth,33.4,36.6,-3.2
Houston,34.9,38.3,-3.3
Wofford,34.7,38.1,-3.3
Radford,34.6,38,-3.4
Florida A&M,33.9,37.3,-3.4
Md.-East. Shore,32.1,35.7,-3.5
Jackson St.,34.4,38,-3.6
Towson,33.7,37.3,-3.6
VMI,32.5,36.2,-3.7
South Ala.,32.1,35.9,-3.7
UC Riverside,31,34.7,-3.7
Campbell,37.1,40.8,-3.7
St. Joseph's,32.9,36.7,-3.8
Albany (NY),32.7,36.6,-3.9
Chicago St.,31.2,35.1,-3.9
SMU,31.6,35.6,-3.9
Long Beach St.,32.4,36.3,-4
Morgan St.,31.1,35.1,-4
Citadel,34,38.1,-4.1
Indiana St.,30,34.1,-4.1
UMKC,33.9,38.1,-4.2
St. Peter's,35.3,39.6,-4.3
Cal Poly,33.7,38,-4.3
Lipscomb,33.3,37.6,-4.4
Appalachian St.,34.9,39.3,-4.4
Lamar,39.2,43.6,-4.4
UNC Asheville,33.3,37.8,-4.5
Savannah St.,37.8,42.4,-4.6
Brown,33,37.6,-4.6
Loyola (MD),33.4,38.1,-4.7
Fairleigh Dickinson,32.9,37.6,-4.7
Southern Utah,28.2,32.9,-4.7
UAB,35,39.8,-4.8
Virginia,34.7,39.5,-4.8
Tulsa,33.6,39.3,-5.7
Central Mich.,32.1,37.8,-5.8
West Virginia,31.5,37.4,-5.9
James Madison,31.5,37.9,-6.3
Air Force,21.5,27.8,-6.3
Western Ill.,29.6,36,-6.4
N.C. A&T,33.3,40.2,-6.9
Portland,30,37.4,-7.4
Tennessee St.,30.7,38.5,-7.8
Dartmouth,28.8,36.5,-7.8
St. Bonaventure,32.8,41.3,-8.4
Army,29,37.4,-8.4
Northwestern,26.4,35.3,-8.9
Ark.-Pine Bluff,34.7,43.6,-8.9
Fordham,31.4,40.7,-9.3
Idaho St.,30,40.4,-10.4
