Name,RPG,OPP RPG,REB MAR
Quinnipiac,40.7,31.6,9.2
Michigan St.,39,30,9
Old Dominion,39.2,30.4,8.8
Morehead St.,37.1,29.1,8
Appalachian St.,38.4,30.4,8
Kentucky,41.4,33.5,7.9
Radford,43.2,35.9,7.4
Southern Miss.,37.7,30.7,7
West Virginia,38.3,31.5,6.8
Texas,42.2,35.4,6.8
Kansas,40.5,33.8,6.8
Cincinnati,39.6,32.8,6.8
Baylor,39.2,32.4,6.7
San Diego St.,37.1,30.4,6.7
Ark.-Pine Bluff,38.2,31.6,6.6
Utah St.,35.5,29.1,6.4
Coastal Caro.,39.7,33.5,6.2
Murray St.,36.5,30.5,6
Duke,39.1,33.1,5.9
New Mexico,38.7,33,5.8
Dayton,38.3,32.5,5.7
Tulsa,38,32.4,5.6
Florida St.,38,32.5,5.6
North Carolina,42,36.4,5.6
Xavier,40.1,34.7,5.4
Lamar,39.3,34,5.3
Villanova,39.1,33.9,5.2
Oakland,38.6,33.4,5.2
Kansas St.,39.1,33.9,5.1
Oral Roberts,38.5,33.4,5.1
A&M-Corpus Christi,36.3,31.2,5.1
BYU,37.4,32.3,5.1
Gonzaga,38.2,33.3,4.9
Wichita St.,34.5,29.6,4.9
Pittsburgh,37.2,32.4,4.8
UAB,36.5,31.7,4.7
Boston College,36.3,31.5,4.7
Illinois St.,35.8,31.1,4.7
Sam Houston St.,37.8,33.1,4.7
Stephen F. Austin,33.9,29.2,4.7
UC Riverside,36.7,32.1,4.6
Wake Forest,41.8,37.3,4.5
Georgia Tech,40.1,35.7,4.5
La Salle,38.9,34.5,4.4
Georgia,36,31.6,4.4
St. Mary's (CA),36.8,32.5,4.4
Temple,37.1,32.7,4.4
Saint Peter's,39,34.7,4.3
Washington,38.4,34.1,4.3
George Washington,38.6,34.4,4.2
Holy Cross,36.6,32.5,4.1
Morgan St.,40.3,36.2,4.1
Siena,38.3,34.2,4.1
North Texas,37,32.9,4.1
Hofstra,40.8,36.8,4
Detroit,36,32.1,4
California,35.8,31.9,3.9
Arkansas St.,38.3,34.6,3.7
SMU,33.3,29.6,3.7
Butler,32.8,29.2,3.7
Syracuse,38.2,34.5,3.7
Jacksonville,37.4,33.7,3.6
San Francisco,35.9,32.2,3.6
UConn,39.4,35.8,3.6
Southern California,34.9,31.4,3.5
Milwaukee,36.5,33,3.5
Davidson,37,33.5,3.5
Hawaii,35.8,32.4,3.5
Western Mich.,36.8,33.3,3.5
Notre Dame,35.6,32.3,3.4
Missouri St.,35,31.6,3.3
Cornell,34.3,31,3.3
Stony Brook,36.7,33.5,3.2
American,35.4,32.2,3.2
