Name,RPG,OPP RPG,REB MAR
Marshall,39.4,36.2,3.2
Sacred Heart,37.1,33.9,3.2
Penn St.,34,30.9,3.2
Miami (FL),35.9,32.8,3.2
Vermont,37.1,34,3.1
Louisiana Tech,37.3,34.2,3
Portland,33.6,30.6,3
UNI,32.5,29.5,3
Weber St.,36.1,33.2,2.9
Massachusetts,40.2,37.4,2.8
Albany (NY),36.1,33.3,2.8
Lipscomb,36.8,34,2.8
Wofford,35.5,32.6,2.8
Harvard,33.8,31,2.8
Colorado St.,35,32.2,2.8
VCU,37.2,34.5,2.7
Eastern Ill.,35,32.3,2.6
Montana,32.6,30,2.6
Loyola Chicago,35.7,33.2,2.6
Akron,36.4,33.8,2.6
Charlotte,39.6,37,2.5
Jackson St.,37.9,35.4,2.5
Florida,37,34.5,2.5
Mississippi St.,39.4,36.9,2.4
Texas A&M,36.5,34.1,2.4
Western Ky.,35.1,32.6,2.4
St. John's (NY),37,34.6,2.4
Mercer,37.2,34.8,2.4
Providence,40.4,38.1,2.4
Northern Ill.,38.3,36,2.3
Texas St.,39.5,37.3,2.3
Illinois,36.8,34.6,2.2
Georgetown,33.4,31.1,2.2
Wisconsin,32.4,30.2,2.2
Pacific,34.4,32.2,2.2
Ohio St.,33.5,31.3,2.1
UTSA,34.3,32.3,2
Middle Tenn.,33.5,31.5,2
Minnesota,35.2,33.2,2
Washington St.,34.6,32.6,2
Oklahoma St.,36,34.1,1.9
Liberty,36.8,34.9,1.9
LIU Brooklyn,39,37.2,1.9
Clemson,36.7,34.9,1.8
Alabama St.,35.5,33.7,1.8
Belmont,37.1,35.4,1.7
Savannah St.,32.8,31,1.7
St. Bonaventure,35.5,33.7,1.7
La.-Monroe,33.5,31.8,1.7
IUPUI,32.9,31.2,1.7
Winthrop,38.8,37.2,1.7
Iowa St.,38.3,36.7,1.7
Louisville,36.9,35.3,1.6
Ole Miss,38.8,37.2,1.6
Bowling Green,33.7,32.1,1.6
Nevada,36.9,35.3,1.6
Lehigh,36.5,34.9,1.6
Cal Poly,35.5,33.9,1.5
East Carolina,35.6,34.1,1.5
Canisius,37.5,36,1.5
Fairfield,36.6,35.1,1.5
Princeton,30.4,28.9,1.5
North Dakota St.,37,35.6,1.4
Robert Morris,35.1,33.6,1.4
Ball St.,35.1,33.7,1.4
Eastern Mich.,35.2,33.8,1.4
Buffalo,35.5,34.1,1.4
Kent St.,35.7,34.3,1.4
Colgate,34.3,33,1.3
Oregon,34.2,32.9,1.3
UNC Asheville,39.6,38.4,1.3
Idaho,34.6,33.4,1.2
South Fla.,35.8,34.6,1.2
Southern Utah,34.9,33.8,1.1
Boise St.,35.9,34.8,1.1
Chattanooga,37.5,36.4,1.1
Chicago St.,36.5,35.4,1.1
Bethune-Cookman,33.2,32.1,1.1
Central Mich.,33.5,32.4,1.1
Virginia Tech,37.6,36.6,1
UNC Greensboro,36.1,35.2,1
LSU,35.9,35,1
Northern Ariz.,33.7,32.8,1
Charleston So.,36.7,35.7,0.9
East Tenn. St.,36.4,35.5,0.9
New Hampshire,36.1,35.3,0.8
Evansville,33.4,32.5,0.8
Cal St. Northridge,37.9,37.1,0.8
UTEP,36.3,35.6,0.8
Campbell,32.6,31.8,0.8
Alabama,35.2,34.4,0.8
Northern Colo.,33.1,32.4,0.7
Maine,36.3,35.6,0.7
McNeese St.,34.9,34.2,0.7
Tennessee,36.7,36,0.7
Vanderbilt,36.4,35.7,0.7
Western Caro.,35.2,34.6,0.6
Southern Ill.,32.6,32.1,0.5
South Carolina St.,34.7,34.2,0.5
Maryland,38.6,38.1,0.5
Virginia,34,33.5,0.5
Pepperdine,36.2,35.7,0.5
UMES,36.2,35.8,0.4
San Jose St.,35.2,34.7,0.4
Troy,36.3,35.8,0.4
Georgia St.,33.8,33.4,0.4
Oregon St.,31.7,31.3,0.4
Yale,35,34.7,0.3
Binghamton,34.8,34.5,0.3
Columbia,33,32.7,0.3
South Ala.,36.3,36,0.3
Creighton,34.8,34.5,0.3
Texas Southern,33.5,33.2,0.3
Furman,35.8,35.6,0.2
Cal St. Fullerton,36.8,36.6,0.2
Norfolk St.,37.3,37.1,0.2
South Dakota St.,35.4,35.2,0.2
Iowa,32,31.8,0.1
Loyola Maryland,35.1,35.1,0
Rice,35.4,35.4,0
Drexel,36,36,0
Santa Clara,34.1,34.1,0
Arizona St.,31.9,31.9,0
Tennessee Tech,34.5,34.6,-0.1
Idaho St.,31.9,32.1,-0.1
Arizona,34.3,34.4,-0.2
Utah Valley,33.1,33.4,-0.2
Nebraska,32.4,32.7,-0.3
Ohio,37.5,37.9,-0.4
Wright St.,30.1,30.5,-0.4
Indiana,35.2,35.5,-0.4
Loyola Marymount,35.8,36.2,-0.4
Youngstown St.,32.9,33.3,-0.4
Rhode Island,34.9,35.3,-0.4
William & Mary,34.4,34.9,-0.5
UNLV,34,34.5,-0.5
Auburn,35,35.5,-0.5
Purdue,33.3,34,-0.7
UCLA,31.8,32.5,-0.7
North Carolina St.,34.9,35.7,-0.8
High Point,35.4,36.3,-0.8
Bucknell,33.8,34.6,-0.8
Delaware,34.8,35.6,-0.9
Army,32,32.9,-0.9
Prairie View,37.6,38.5,-0.9
Seton Hall,38.7,39.6,-0.9
Boston U.,36.8,37.7,-1
IPFW,35.6,36.6,-1
Utah,33.9,35,-1
New Orleans,31.7,32.8,-1.1
Green Bay,32.4,33.5,-1.1
Citadel,32,33.1,-1.1
UCF,32.9,34,-1.1
Oklahoma,34.4,35.5,-1.1
Austin Peay,34.1,35.3,-1.2
Miami (OH),31.8,32.9,-1.2
Marquette,31.8,33,-1.2
James Madison,34.8,36,-1.2
Jacksonville St.,34.2,35.4,-1.2
Stanford,33.8,35,-1.3
Valparaiso,32.4,33.7,-1.3
TCU,31.9,33.2,-1.3
UNC Wilmington,36.6,37.9,-1.3
UALR,34,35.4,-1.4
George Mason,34.4,35.9,-1.5
UT Martin,35.9,37.4,-1.6
Hampton,34.6,36.1,-1.6
Fresno St.,33.5,35,-1.6
Central Conn. St.,32.5,34.1,-1.7
Fairleigh Dickinson,35.3,36.9,-1.7
UMKC,31,32.8,-1.8
UC Davis,31.7,33.5,-1.8
Long Beach St.,35.6,37.5,-1.9
Mississippi Val.,34.9,36.8,-1.9
Southeastern La.,33.6,35.5,-1.9
Bradley,32.9,34.9,-2
UC Irvine,33.1,35.1,-2
Eastern Wash.,34,36.1,-2.1
New Mexico St.,35.5,37.6,-2.1
Kennesaw St.,35.3,37.5,-2.1
Memphis,32.5,34.7,-2.2
Western Ill.,32.3,34.4,-2.2
UC Santa Barbara,32.7,34.9,-2.2
Mt. St. Mary's,34.9,37.1,-2.2
Penn,30.5,32.8,-2.3
Southeast Mo. St.,34.2,36.5,-2.3
Iona,33.6,35.9,-2.3
Monmouth,33.5,35.9,-2.4
Indiana St.,33.3,35.7,-2.5
Northwestern,32,34.5,-2.5
Tennessee St.,33.2,35.8,-2.6
Missouri,35.4,38,-2.6
Arkansas,34.5,37.1,-2.6
Wyoming,33.8,36.4,-2.6
Northeastern,30.7,33.3,-2.7
St. Francis Brooklyn,32.6,35.2,-2.7
Texas Tech,35.9,38.7,-2.8
Howard,34.1,36.9,-2.8
San Diego,30.4,33.1,-2.8
Saint Louis,33.2,36,-2.8
La.-Lafayette,31.9,34.7,-2.8
Portland St.,31.8,34.7,-2.8
Rutgers,35.8,38.8,-3
Longwood,35.2,38.3,-3.1
Rider,34.8,37.9,-3.1
Fla. Atlantic,35.4,38.5,-3.1
Niagara,37.2,40.3,-3.2
Gardner-Webb,36,39.2,-3.2
Toledo,30.8,33.9,-3.2
Saint Francis (PA),30.7,34,-3.3
Manhattan,35.1,38.5,-3.4
NJIT,34.3,37.8,-3.5
Fordham,37.4,40.9,-3.5
Delaware St.,27.9,31.4,-3.6
Duquesne,37.7,41.3,-3.6
N.C. A&T,37.1,40.7,-3.6
Samford,28,31.7,-3.7
Air Force,27.5,31.2,-3.7
Texas-Arlington,36.1,39.9,-3.8
Michigan,30.9,34.8,-3.8
Northwestern St.,37.7,41.6,-3.9
Montana St.,31.4,35.4,-4
Sacramento St.,32.3,36.6,-4.3
FIU,32.9,37.3,-4.3
Cleveland St.,29.5,33.9,-4.4
North Florida,31.5,35.9,-4.4
Nicholls St.,27.2,31.6,-4.4
Lafayette,31,35.4,-4.5
Florida A&M,33.6,38.2,-4.6
Wagner,32.3,37.1,-4.8
Richmond,33,37.9,-4.9
Alabama A&M,37.2,42.3,-5.1
South Carolina,34.8,39.9,-5.1
Coppin St.,33.4,38.8,-5.3
Brown,31.9,37.3,-5.4
Elon,33.1,38.5,-5.4
DePaul,33.4,38.9,-5.5
Tulane,30.8,36.4,-5.6
Dartmouth,30.8,36.4,-5.6
Towson,34.3,40,-5.7
Denver,24,29.8,-5.8
Grambling,33.2,39.2,-6
Ill.-Chicago,32.7,39.1,-6.4
Marist,30.1,36.6,-6.4
Navy,33.1,39.6,-6.5
Ga. Southern,30.8,37.3,-6.6
Drake,28.5,35.1,-6.6
Hartford,31.1,37.9,-6.8
Stetson,31,37.8,-6.9
Eastern Ky.,26.9,33.8,-6.9
Colorado,28.5,36,-7.5
Southern U.,34.2,41.8,-7.6
Saint Joseph's,32.3,40.3,-8
Houston,34,42.1,-8.1
Tex.-Pan American,30.5,38.7,-8.2
Centenary (LA),30.1,38.6,-8.4
Alcorn,34.4,42.9,-8.5
Col. of Charleston,31.9,40.9,-9
UMBC,30.6,40.2,-9.6
VMI,37.1,49.3,-12.2
