Name,TOPG
Michigan,9.2
Bucknell,9.5
Cal Poly,9.5
Wisconsin,9.7
Missouri St.,10.2
South Dakota St.,10.4
Troy,10.5
Ohio St.,10.6
Nebraska,10.7
Northwestern,10.7
Duke,10.7
Colorado St.,10.8
Virginia,10.8
South Fla.,10.9
Southern U.,10.9
Pittsburgh,10.9
Miami (FL),10.9
Davidson,10.9
Columbia,10.9
Detroit,10.9
North Dakota St.,10.9
Lehigh,11
Temple,11
UCLA,11.1
Notre Dame,11.1
Pacific,11.1
Denver,11.1
Florida,11.1
Wyoming,11.2
Rice,11.2
James Madison,11.2
Sacramento St.,11.2
Gonzaga,11.2
Evansville,11.3
Navy,11.3
Ole Miss,11.4
Boston College,11.4
Western Ill.,11.4
Elon,11.4
Clemson,11.5
St. John's (NY),11.5
Saint Louis,11.5
Niagara,11.5
Illinois,11.5
New Mexico,11.5
Georgia St.,11.5
Kansas St.,11.6
Fresno St.,11.6
Eastern Ky.,11.6
Arkansas,11.6
Youngstown St.,11.7
Stony Brook,11.7
La Salle,11.7
Stanford,11.7
Montana St.,11.8
Air Force,11.8
Drexel,11.8
Loyola Maryland,11.8
VCU,11.8
Oklahoma,11.8
Texas Southern,11.8
Saint Joseph's,11.9
San Diego St.,11.9
Portland St.,12
Toledo,12
St. Mary's (CA),12
Virginia Tech,12
Washington St.,12
Idaho St.,12
Vanderbilt,12.1
Ill.-Chicago,12.1
Montana,12.1
Rhode Island,12.1
Richmond,12.1
Oakland,12.1
McNeese St.,12.1
Boise St.,12.1
San Francisco,12.1
South Dakota,12.1
New Hampshire,12.1
A&M-Corpus Christi,12.1
Bradley,12.1
American,12.1
Santa Clara,12.2
Southern Ill.,12.2
High Point,12.2
North Carolina,12.2
Iona,12.2
Utah Valley,12.2
Louisiana Tech,12.2
Baylor,12.2
BYU,12.2
UConn,12.2
Charleston So.,12.3
Creighton,12.3
Arizona St.,12.3
Tulane,12.3
Princeton,12.3
Penn St.,12.3
St. Francis Brooklyn,12.3
Bethune-Cookman,12.4
North Carolina St.,12.4
UC Irvine,12.4
UNI,12.4
UTEP,12.4
Boston U.,12.4
Holy Cross,12.4
Oklahoma St.,12.4
Mt. St. Mary's,12.4
Lafayette,12.5
Alabama,12.5
Cal St. Fullerton,12.5
California,12.5
Central Conn. St.,12.6
Ohio,12.6
Purdue,12.6
Weber St.,12.6
